window_id,start_time,end_time,reconstruction_error,is_abnormal
0,30.0,34.9,0.15040362,0
1,35.0,39.9,0.23616394,0
2,40.0,44.9,0.33973274,1
3,45.0,49.9,0.17905152,0
4,50.0,54.9,0.17984289,0
5,55.0,59.9,0.25062114,0
6,60.0,64.9,0.12692706,0
7,65.0,69.9,0.24219689,0
8,70.0,74.9,0.1753566,0
9,75.0,79.9,0.16699593,0
10,80.0,84.9,0.11186558,0
11,85.0,89.9,0.20449312,0
12,90.0,94.9,0.27395016,1
13,95.0,99.9,0.25187123,0
14,100.0,104.9,0.27599624,1
15,105.0,109.9,0.18530685,0
16,110.0,114.9,0.17235994,0
17,115.0,119.9,0.27192912,0
18,120.0,124.9,1.1381717,1
