window_id,start_time,end_time,reconstruction_error,is_abnormal
0,80.0,84.9,0.054607898,0
1,82.5,87.4,0.1665124,0
2,85.0,89.9,0.16218163,0
3,87.5,92.4,0.19039926,0
4,90.0,94.9,0.25509828,0
5,92.5,97.4,1.6936134,0
6,95.0,99.9,1.7043887,1
