Time(S),Raw_Current(A),Denoised_Current(A)
14.6,-2.3334e-06,-2.3992e-06
14.7,-2.3992e-06,-2.4259e-06
14.8,-2.581e-06,-2.4259e-06
14.9,-2.4259e-06,-2.581e-06
15.0,-3.0945e-06,-2.581e-06
15.1,-2.7606e-06,-2.4259e-06
15.2,-1.9468e-06,-2.1341e-06
15.3,-2.1341e-06,-2.1341e-06
15.4,-1.9808e-06,-2.1341e-06
15.5,-2.3988e-06,-2.376e-06
15.6,-2.6683e-06,-2.3988e-06
15.7,-2.376e-06,-2.6683e-06
15.8,-2.8203e-06,-2.6717e-06
15.9,-2.6717e-06,-2.6717e-06
16.0,-3.0251e-06,-2.6717e-06
16.1,-2.1594e-06,-2.4276e-06
16.2,-2.4276e-06,-2.4276e-06
16.3,-2.2307e-06,-2.4276e-06
16.4,-2.4471e-06,-2.4334e-06
16.5,-2.6309e-06,-2.4334e-06
16.6,-2.4334e-06,-2.4471e-06
16.7,-1.7057e-06,-2.6309e-06
16.8,-2.6389e-06,-2.6389e-06
16.9,-2.8527e-06,-2.6389e-06
17.0,-2.8097e-06,-2.7587e-06
17.1,-2.3968e-06,-2.7587e-06
17.2,-2.7587e-06,-2.3968e-06
17.3,-2.3604e-06,-2.3604e-06
17.4,-2.1353e-06,-2.2267e-06
17.5,-1.7334e-06,-2.1593e-06
17.6,-2.2267e-06,-2.1353e-06
17.7,-2.1593e-06,-2.139e-06
17.8,-1.998e-06,-2.1593e-06
17.9,-2.139e-06,-2.1593e-06
18.0,-2.4945e-06,-2.1428e-06
18.1,-2.2686e-06,-2.2686e-06
18.2,-2.1428e-06,-2.4345e-06
18.3,-2.4345e-06,-2.302e-06
18.4,-2.7194e-06,-2.4345e-06
18.5,-2.302e-06,-2.5293e-06
18.6,-2.5293e-06,-2.5293e-06
18.7,-2.5366e-06,-2.5293e-06
18.8,-2.4664e-06,-2.5366e-06
18.9,-2.7593e-06,-2.5366e-06
19.0,-2.6753e-06,-2.469e-06
19.1,-2.1899e-06,-2.469e-06
19.2,-2.469e-06,-2.3202e-06
19.3,-2.3202e-06,-2.1899e-06
19.4,-2.0882e-06,-2.3202e-06
19.5,-2.117e-06,-2.117e-06
19.6,-2.6884e-06,-2.117e-06
19.7,-2.1169e-06,-2.117e-06
19.8,-2.2601e-06,-2.2601e-06
19.9,-2.0039e-06,-2.2601e-06
20.0,-2.9064e-06,-2.3242e-06
20.1,-2.6891e-06,-2.6514e-06
20.2,-2.3242e-06,-2.6514e-06
20.3,-2.6514e-06,-2.4349e-06
20.4,-2.4349e-06,-2.4349e-06
20.5,-2.0375e-06,-2.4349e-06
20.6,-2.7333e-06,-2.4349e-06
20.7,-1.9672e-06,-2.4623e-06
20.8,-2.4623e-06,-2.4623e-06
20.9,-2.8673e-06,-2.4623e-06
21.0,-2.0092e-06,-2.4623e-06
21.1,-2.5189e-06,-2.3308e-06
21.2,-2.3308e-06,-2.2818e-06
21.3,-2.2818e-06,-2.2818e-06
21.4,-1.9875e-06,-2.1767e-06
21.5,-2.1767e-06,-2.1767e-06
21.6,-1.9284e-06,-2.1767e-06
21.7,-2.3036e-06,-2.3036e-06
21.8,-2.4441e-06,-2.3187e-06
21.9,-2.3187e-06,-2.3187e-06
22.0,-2.426e-06,-2.3187e-06
22.1,-2.0222e-06,-2.1334e-06
22.2,-1.998e-06,-2.0708e-06
22.3,-2.1334e-06,-2.0708e-06
22.4,-2.0708e-06,-2.1334e-06
22.5,-2.4978e-06,-2.1334e-06
22.6,-2.1578e-06,-2.1578e-06
22.7,-2.0701e-06,-2.3901e-06
22.8,-2.3901e-06,-2.3901e-06
22.9,-2.6578e-06,-2.3901e-06
23.0,-2.4326e-06,-2.4326e-06
23.1,-2.1657e-06,-2.4345e-06
23.2,-2.4518e-06,-2.4326e-06
23.3,-2.4345e-06,-2.4345e-06
23.4,-2.1389e-06,-2.4345e-06
23.5,-2.8034e-06,-2.4341e-06
23.6,-2.4341e-06,-2.1389e-06
23.7,-2.0093e-06,-2.3047e-06
23.8,-1.6707e-06,-2.0369e-06
23.9,-2.3047e-06,-2.0369e-06
24.0,-2.0369e-06,-2.2449e-06
24.1,-2.2789e-06,-2.2625e-06
24.2,-2.2449e-06,-2.255e-06
24.3,-2.2625e-06,-2.2625e-06
24.4,-2.255e-06,-2.2625e-06
24.5,-2.5453e-06,-2.5453e-06
24.6,-2.7193e-06,-2.5453e-06
24.7,-2.5854e-06,-2.5854e-06
24.8,-1.9885e-06,-2.5854e-06
24.9,-2.713e-06,-2.5854e-06
25.0,-2.125e-06,-2.5188e-06
25.1,-2.7494e-06,-2.5188e-06
25.2,-2.5188e-06,-2.5188e-06
25.3,-2.4339e-06,-2.5188e-06
25.4,-3.0458e-06,-2.4597e-06
25.5,-2.3845e-06,-2.4597e-06
25.6,-2.4597e-06,-2.4597e-06
25.7,-2.5633e-06,-2.4597e-06
25.8,-2.2781e-06,-2.4597e-06
25.9,-2.5846e-06,-2.5633e-06
26.0,-2.248e-06,-2.5273e-06
26.1,-2.6836e-06,-2.5846e-06
26.2,-2.5273e-06,-2.5815e-06
26.3,-2.6117e-06,-2.6004e-06
26.4,-2.5815e-06,-2.5815e-06
26.5,-2.6004e-06,-2.5815e-06
26.6,-2.4376e-06,-2.5815e-06
26.7,-2.4656e-06,-2.4656e-06
26.8,-2.6293e-06,-2.4656e-06
26.9,-1.973e-06,-2.4656e-06
27.0,-2.6887e-06,-2.4225e-06
27.1,-2.4225e-06,-2.276e-06
27.2,-1.8523e-06,-2.276e-06
27.3,-2.276e-06,-2.276e-06
27.4,-1.9523e-06,-1.9901e-06
27.5,-2.4385e-06,-2.276e-06
27.6,-1.9901e-06,-2.4133e-06
27.7,-2.4133e-06,-2.4385e-06
27.8,-2.54e-06,-2.4133e-06
27.9,-2.6826e-06,-2.4133e-06
28.0,-2.3649e-06,-2.54e-06
28.1,-1.6948e-06,-2.6826e-06
28.2,-2.9549e-06,-2.8469e-06
28.3,-2.9545e-06,-2.9545e-06
