序号,相对时间(s),R（Ω）,X（Ω）,时间
1,0,17922.9,-2153.25,2026/01/29 22:52:32
2,0.11,17919.7,-2156.38,2026/01/29 22:52:32
3,0.22,17924.1,-2152.72,2026/01/29 22:52:32
4,0.33,17919.5,-2154.12,2026/01/29 22:52:32
5,0.43,17923,-2154.29,2026/01/29 22:52:32
6,0.54,17920.9,-2154.66,2026/01/29 22:52:32
7,0.65,17921.4,-2153.84,2026/01/29 22:52:32
8,0.76,17921.2,-2155.47,2026/01/29 22:52:32
9,0.87,17920.5,-2154.15,2026/01/29 22:52:32
10,0.98,17923.5,-2154.82,2026/01/29 22:52:33
11,1.09,17920.1,-2154.72,2026/01/29 22:52:33
12,1.2,17924.1,-2152.28,2026/01/29 22:52:33
13,1.3,17919.6,-2157.35,2026/01/29 22:52:33
14,1.41,17923.6,-2152.4,2026/01/29 22:52:33
15,1.52,17919.5,-2155.43,2026/01/29 22:52:33
16,1.63,17922.7,-2154.96,2026/01/29 22:52:33
17,1.74,17921.6,-2154.41,2026/01/29 22:52:33
18,1.85,17920.4,-2156.3,2026/01/29 22:52:33
19,1.96,17923.2,-2152.5,2026/01/29 22:52:34
20,2.07,17918.2,-2156.3,2026/01/29 22:52:34
21,2.17,17924.2,-2154.03,2026/01/29 22:52:34
22,2.28,17918.9,-2153.86,2026/01/29 22:52:34
23,2.39,17922.8,-2155.94,2026/01/29 22:52:34
24,2.5,17920,-2154.25,2026/01/29 22:52:34
25,2.61,17922.7,-2154.9,2026/01/29 22:52:34
26,2.72,17921.1,-2155.58,2026/01/29 22:52:34
27,2.83,17919.3,-2155.13,2026/01/29 22:52:34
28,2.94,17923.4,-2155.51,2026/01/29 22:52:34
29,3.05,17920.5,-2154.99,2026/01/29 22:52:35
30,3.15,17923.3,-2153.48,2026/01/29 22:52:35
31,3.26,17920,-2157.58,2026/01/29 22:52:35
32,3.37,17923.5,-2152.85,2026/01/29 22:52:35
33,3.48,17920.4,-2155.53,2026/01/29 22:52:35
34,3.59,17922.3,-2153.71,2026/01/29 22:52:35
35,3.7,17920.5,-2155.03,2026/01/29 22:52:35
36,3.81,17921.4,-2156.26,2026/01/29 22:52:35
37,3.92,17923.8,-2153.75,2026/01/29 22:52:35
38,4.02,17918.7,-2157.59,2026/01/29 22:52:36
39,4.13,17925.2,-2153.96,2026/01/29 22:52:36
40,4.24,17918.6,-2155.82,2026/01/29 22:52:36
41,4.35,17924,-2154.87,2026/01/29 22:52:36
42,4.46,17921.5,-2154.81,2026/01/29 22:52:36
43,4.57,17922,-2156.42,2026/01/29 22:52:36
44,4.68,17924.2,-2154.76,2026/01/29 22:52:36
45,4.79,17920,-2156.58,2026/01/29 22:52:36
46,4.9,17924.3,-2155.33,2026/01/29 22:52:36
47,5,17920.4,-2156.09,2026/01/29 22:52:37
48,5.11,17923.3,-2155.03,2026/01/29 22:52:37
49,5.22,17921.3,-2156.9,2026/01/29 22:52:37
50,5.33,17923.9,-2153.95,2026/01/29 22:52:37
51,5.44,17922.2,-2156.65,2026/01/29 22:52:37
52,5.55,17923.3,-2153.71,2026/01/29 22:52:37
53,5.66,17922.7,-2156.63,2026/01/29 22:52:37
54,5.77,17922.5,-2154.35,2026/01/29 22:52:37
55,5.87,17923.7,-2155.84,2026/01/29 22:52:37
56,5.99,17921.9,-2156.66,2026/01/29 22:52:38
57,6.09,17926.2,-2153.67,2026/01/29 22:52:38
58,6.2,17920.2,-2157.38,2026/01/29 22:52:38
59,6.31,17925.6,-2155.83,2026/01/29 22:52:38
60,6.42,17922.6,-2155.63,2026/01/29 22:52:38
61,6.53,17923.3,-2157.14,2026/01/29 22:52:38
62,6.64,17924.8,-2153.89,2026/01/29 22:52:38
63,6.74,17920.9,-2157.71,2026/01/29 22:52:38
64,6.85,17926.2,-2155.21,2026/01/29 22:52:38
65,6.96,17920.4,-2155.82,2026/01/29 22:52:39
66,7.07,17925.2,-2156.82,2026/01/29 22:52:39
67,7.18,17923.1,-2155.67,2026/01/29 22:52:39
68,7.29,17921.8,-2157.19,2026/01/29 22:52:39
69,7.4,17925.6,-2155.22,2026/01/29 22:52:39
70,7.5,17921.4,-2155.94,2026/01/29 22:52:39
71,7.61,17925.3,-2155.87,2026/01/29 22:52:39
72,7.72,17922.3,-2155.56,2026/01/29 22:52:39
73,7.83,17924.5,-2155.53,2026/01/29 22:52:39
74,7.94,17922.7,-2157.43,2026/01/29 22:52:39
75,8.05,17924.1,-2155.4,2026/01/29 22:52:40
76,8.16,17922.5,-2157.43,2026/01/29 22:52:40
77,8.27,17923.1,-2155.74,2026/01/29 22:52:40
78,8.38,17923.9,-2157.31,2026/01/29 22:52:40
79,8.48,17921.6,-2155.96,2026/01/29 22:52:40
80,8.59,17924.8,-2155.21,2026/01/29 22:52:40
81,8.7,17920.7,-2158.18,2026/01/29 22:52:40
82,8.81,17926.6,-2153.8,2026/01/29 22:52:40
83,8.92,17920.1,-2158.34,2026/01/29 22:52:40
