序号,相对时间(s),R（Ω）,X（Ω）,时间
94,10.11,16775,-2105.88,2026/01/29 20:53:29
95,10.22,16774.9,-2103.86,2026/01/29 20:53:29
96,10.33,16775.4,-2105.17,2026/01/29 20:53:29
97,10.44,16772.9,-2104.9,2026/01/29 20:53:29
98,10.55,16776.2,-2104.35,2026/01/29 20:53:29
99,10.66,16771.4,-2106.44,2026/01/29 20:53:30
100,10.77,16778,-2103.41,2026/01/29 20:53:30
101,10.88,16770.4,-2106.33,2026/01/29 20:53:30
102,10.99,16776.9,-2105.03,2026/01/29 20:53:30
103,11.09,16771.9,-2104.9,2026/01/29 20:53:30
104,11.2,16774.9,-2105.8,2026/01/29 20:53:30
105,11.31,16773.8,-2104.48,2026/01/29 20:53:30
106,11.42,16772.9,-2105.67,2026/01/29 20:53:30
107,11.53,16775.8,-2104.37,2026/01/29 20:53:30
108,11.64,16772.5,-2105.44,2026/01/29 20:53:31
109,11.75,16774.6,-2104.44,2026/01/29 20:53:31
110,11.86,16772.8,-2106.99,2026/01/29 20:53:31
111,11.97,16774.7,-2101.9,2026/01/29 20:53:31
112,12.07,16772.3,-2107.39,2026/01/29 20:53:31
113,12.18,16774.5,-2103.79,2026/01/29 20:53:31
114,12.29,16772.8,-2105.46,2026/01/29 20:53:31
115,12.4,16773.7,-2105.09,2026/01/29 20:53:31
116,12.51,16772.9,-2105.17,2026/01/29 20:53:31
117,12.62,16771.7,-2105.98,2026/01/29 20:53:32
118,12.73,16774.8,-2103.64,2026/01/29 20:53:32
119,12.84,16771.1,-2104.7,2026/01/29 20:53:32
120,12.95,16774.9,-2106.13,2026/01/29 20:53:32
121,13.06,16771.6,-2103.97,2026/01/29 20:53:32
122,13.16,16773.7,-2105.01,2026/01/29 20:53:32
123,13.27,16772.7,-2105.26,2026/01/29 20:53:32
124,13.38,16772.3,-2104.31,2026/01/29 20:53:32
125,13.49,16773.9,-2104.62,2026/01/29 20:53:32
126,13.6,16771.1,-2104.67,2026/01/29 20:53:33
127,13.71,16773.2,-2104.53,2026/01/29 20:53:33
128,13.82,16770.5,-2107.85,2026/01/29 20:53:33
129,13.92,16773.6,-2102.53,2026/01/29 20:53:33
130,14.03,16770.3,-2105.96,2026/01/29 20:53:33
131,14.14,16772.9,-2103.74,2026/01/29 20:53:33
132,14.25,16771.4,-2104.6,2026/01/29 20:53:33
133,14.36,16771.7,-2104.41,2026/01/29 20:53:33
134,14.47,16772.7,-2103.39,2026/01/29 20:53:33
135,14.58,16768.1,-2105.43,2026/01/29 20:53:33
136,14.69,16774.3,-2105.1,2026/01/29 20:53:34
137,14.79,16768.8,-2103.6,2026/01/29 20:53:34
138,14.9,16772.1,-2106.04,2026/01/29 20:53:34
139,15.01,16771,-2104.58,2026/01/29 20:53:34
140,15.12,16770.1,-2104.77,2026/01/29 20:53:34
141,15.23,16772,-2104.02,2026/01/29 20:53:34
142,15.34,16769.3,-2105.06,2026/01/29 20:53:34
143,15.45,16771,-2104.24,2026/01/29 20:53:34
144,15.56,16770.4,-2106.98,2026/01/29 20:53:34
145,15.66,16771.6,-2102.38,2026/01/29 20:53:35
146,15.77,16769.8,-2105.87,2026/01/29 20:53:35
147,15.88,16771,-2102.97,2026/01/29 20:53:35
148,15.99,16770.2,-2104.48,2026/01/29 20:53:35
149,16.1,16770.2,-2104.77,2026/01/29 20:53:35
150,16.21,16771.6,-2104.41,2026/01/29 20:53:35
151,16.32,16767.7,-2106.09,2026/01/29 20:53:35
152,16.43,16773.3,-2103.74,2026/01/29 20:53:35
153,16.54,16765.5,-2105.92,2026/01/29 20:53:35
154,16.64,16772.2,-2105.41,2026/01/29 20:53:36
155,16.75,16768.9,-2104,2026/01/29 20:53:36
156,16.86,16769.9,-2105.35,2026/01/29 20:53:36
157,16.97,16769.7,-2104.35,2026/01/29 20:53:36
158,17.08,16768.2,-2104.9,2026/01/29 20:53:36
159,17.19,16770.6,-2103.79,2026/01/29 20:53:36
160,17.29,16768.6,-2103.69,2026/01/29 20:53:36
161,17.4,16768.7,-2105.16,2026/01/29 20:53:36
162,17.51,16767.8,-2105.62,2026/01/29 20:53:36
163,17.62,16768,-2104.42,2026/01/29 20:53:37
164,17.73,16768.5,-2105.22,2026/01/29 20:53:37
165,17.84,16767,-2104.83,2026/01/29 20:53:37
166,17.95,16769.2,-2103.58,2026/01/29 20:53:37
167,18.05,16767.6,-2105.24,2026/01/29 20:53:37
168,18.16,16769.2,-2102.33,2026/01/29 20:53:37
169,18.27,16766.9,-2107.3,2026/01/29 20:53:37
170,18.38,16769.9,-2101.68,2026/01/29 20:53:37
171,18.49,16767.2,-2106.07,2026/01/29 20:53:37
172,18.6,16768,-2104.64,2026/01/29 20:53:38
173,18.71,16768.5,-2105.31,2026/01/29 20:53:38
174,18.82,16766.2,-2105.18,2026/01/29 20:53:38
175,18.92,16769.9,-2103.25,2026/01/29 20:53:38
176,19.04,16764.2,-2106.27,2026/01/29 20:53:38
177,19.14,16771.5,-2102.1,2026/01/29 20:53:38
178,19.25,16763.7,-2106.03,2026/01/29 20:53:38
179,19.36,16770.3,-2103.83,2026/01/29 20:53:38
180,19.47,16764.9,-2104.35,2026/01/29 20:53:38
181,19.58,16768.3,-2104.26,2026/01/29 20:53:38
182,19.69,16766.4,-2104.3,2026/01/29 20:53:39
183,19.8,16767.3,-2104.91,2026/01/29 20:53:39
184,19.91,16768.6,-2103.79,2026/01/29 20:53:39
185,20.02,16763.4,-2105.07,2026/01/29 20:53:39
186,20.12,16769.7,-2104.86,2026/01/29 20:53:39
187,20.23,16763.9,-2103.37,2026/01/29 20:53:39
188,20.34,16768.3,-2105.69,2026/01/29 20:53:39
189,20.45,16764.3,-2104.21,2026/01/29 20:53:39
190,20.56,16766.5,-2104.91,2026/01/29 20:53:39
191,20.67,16766.3,-2103.46,2026/01/29 20:53:40
192,20.78,16765.3,-2104.69,2026/01/29 20:53:40
193,20.89,16767.2,-2103.28,2026/01/29 20:53:40
194,21,16764.6,-2104.95,2026/01/29 20:53:40
195,21.1,16767.8,-2104.06,2026/01/29 20:53:40
196,21.21,16764.6,-2103.54,2026/01/29 20:53:40
197,21.32,16766.3,-2105.36,2026/01/29 20:53:40
198,21.43,16765.6,-2103.93,2026/01/29 20:53:40
199,21.54,16765.4,-2104.19,2026/01/29 20:53:40
200,21.65,16766.3,-2103.56,2026/01/29 20:53:41
201,21.76,16763.6,-2105.64,2026/01/29 20:53:41
202,21.87,16765.7,-2104.24,2026/01/29 20:53:41
203,21.97,16765,-2103.01,2026/01/29 20:53:41
204,22.08,16765.3,-2104.87,2026/01/29 20:53:41
205,22.19,16763.7,-2103.97,2026/01/29 20:53:41
206,22.3,16764.2,-2104.32,2026/01/29 20:53:41
207,22.41,16764.1,-2104.18,2026/01/29 20:53:41
208,22.52,16763.2,-2105.67,2026/01/29 20:53:41
209,22.63,16765.4,-2103.84,2026/01/29 20:53:42
210,22.73,16763.5,-2103.8,2026/01/29 20:53:42
211,22.84,16764.3,-2104.61,2026/01/29 20:53:42
212,22.95,16763.6,-2103.3,2026/01/29 20:53:42
