0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.7861341,-0.6059553,0.5642827,-0.67217946,1.6671933,0.88933367,-0.7811737,-0.4776458,0.3021452,0.8526344,-1.6878945,-0.3783092,0.085812435,0.06235825,0.47791514,-0.3101538,-0.0769891,-0.024561465,0.13465258,0.9748737,0.12057994,0.08801964,0.8446325,-0.5598744,-0.030356154,0.27896646,-0.6238915,-0.72046816,0.84490854,0.78668624,1.1092539,0.6230572,-0.53338486,-0.26241663,0.54551965,-0.63189334,0.63105905,-0.6363084,0.05187247,-0.51931226,-0.26986703,-0.3681001,0.60925996,-0.24558468,1.4853523,0.32035682,-0.04801565,-0.71826094,1.9036691,-0.49640954
-0.569256,0.9850828,0.10043719,0.25468472,0.4696372,0.7894456,-0.11948307,0.47901937,-1.6658199,0.6078803,-0.69094324,-0.92686725,-0.26020944,0.8443565,0.116717026,-0.25717407,-1.9745904,-0.29470152,-0.3170521,1.3054433,-1.5284044,1.1710631,-0.1095494,0.5753206,0.019036109,-0.2748342,-0.56815237,0.8151076,-0.248344,0.34988174,-1.3818833,0.7861341,-0.8669892,0.116993085,0.09767787,-0.029251926,-0.1421097,1.0035704,-0.21274894,-0.97653556,-0.6200279,-0.49861676,-0.27152276,-0.7974542,0.21991658,-0.60843855,-0.6343766,0.25771946,-1.5703462,-0.98370993
1.2532917,0.7825473,1.2604655,-1.6707865,1.2033473,0.5921526,-0.06319189,0.53751713,-0.6647297,0.94590026,-0.5091025,-0.47129965,1.0758655,-0.40259156,0.63133514,1.4685204,0.3421559,1.8366171,-1.2370174,-0.21330044,0.3255994,0.3015931,0.9034063,-0.13824616,0.9447967,-0.48840702,0.73067176,0.61477923,-1.2786838,0.51792586,-0.5306256,-0.23123598,0.86560345,-1.6208427,-1.8233782,0.6727255,-0.77537906,0.054631785,0.51213115,0.04359452,2.2532783,-0.57753396,0.22460768,-0.2889068,-0.12058667,-0.28118035,-0.34547344,0.45280522,-0.097960025,0.6318866
-1.0212368,-0.8973423,-0.99447113,-0.031459752,0.99584466,1.786397,-1.90202,-1.3758125,-0.6754909,-1.2753724,-0.2511033,-0.63603234,0.06097859,0.6542378,1.5819297,0.549934,1.2610176,-0.5217955,-0.7171567,0.09767787,-0.40479937,-0.6189243,-1.0044048,-0.66748905,0.33415338,-0.27897316,-0.14128155,0.17080039,0.30518058,-0.6216836,-0.57781,0.9232736,-0.9483903,-0.36478865,-0.31898326,0.2524769,0.43017858,1.2828166,-0.9682576,0.55103827,0.34519064,-0.18294795,-0.8840972,0.9839792,-0.16252853,-0.3096017,-0.4966856,0.029797941,1.7681854,0.46080774
-0.5874676,0.46191135,-0.19067378,1.4845247,0.5284116,-0.9254876,0.58304644,0.61671036,0.50054175,0.8217298,-0.27786893,-0.40590298,0.48812485,0.8901619,0.16445357,-0.47405896,1.3987093,0.61505467,0.977357,-0.7392319,1.3871199,0.5899447,-0.526486,0.47101685,-0.25331116,-0.7676532,0.54662323,0.25744405,0.1197524,-1.858974,-0.82063234,-0.3683755,0.15203665,-0.63520414,-1.281167,1.1809968,0.07146374,0.49336806,1.5306056,0.12002846,-2.044126,0.020967878,0.47212106,-1.2817192,-0.98564106,0.947556,-0.5786382,-1.0055084,-0.37692952,0.08636455
-0.06953869,0.8531865,-0.6385156,0.15038094,1.007158,-1.7472204,1.2011396,-0.4481209,0.21274224,-0.9241079,1.2019677,-0.13079639,-0.29028648,1.3131691,-0.526486,-1.2022499,0.6125714,1.1029072,-1.4246533,0.112026565,-0.22268261,0.25551227,0.61809003,-0.85926336,-1.4210658,-0.043876678,0.82255733,-0.05160314,0.4089316,0.24143963,-0.6677645,0.20998292,-0.23703067,1.2403227,0.40755194,-0.010212769,-0.024837522,0.16859256,-1.5904896,0.25330445,1.5427471,0.041938808,-0.09464859,0.8650513,0.030073998,-0.5485611,-0.4748865,-0.08057596,-2.2447305,0.841045
-1.0413802,0.6978354,-0.8617466,0.15203665,-0.2861475,-0.7301257,-0.25441474,0.2599273,-0.29276973,0.08470883,-1.9814887,0.5907729,1.10677,0.03917949,-0.92852294,0.5223409,0.11809669,-1.6680272,-0.69066715,-0.274006,0.9583172,-0.90699995,-0.31567243,-0.6583829,0.94065773,0.5038532,-0.065951206,-1.0168217,-0.5797418,0.13023818,-0.7179849,-0.8465704,1.2281812,0.8992673,-0.50054854,0.16997221,1.6481538,-0.26020944,-0.3076699,-0.66114223,0.8440804,0.04856104,-0.4332201,-0.101270825,1.255775,0.21495007,0.34022412,-0.27566174,1.007434,0.7836509
-0.34878424,-0.011868483,0.8076572,0.9740456,1.2394946,0.5135108,-0.14155759,-0.08250773,1.643187,-0.5030318,1.0060544,-0.5507683,-0.9174857,0.63050693,1.1732703,-0.07643698,0.6765884,0.8606369,0.104024045,0.39541107,0.4690857,-0.059881087,0.49971423,-1.3200741,-0.39541718,0.15534808,0.57062954,0.7022504,0.25192478,0.63133514,-0.898998,0.92382574,1.4287857,0.9911536,0.25799552,-1.6387782,1.5706164,1.7599074,-1.1031893,0.2695849,-0.033943012,1.3338641,1.2571547,-0.16308063,-0.9227283,0.5491065,0.3703012,-1.6434693,-1.3967835,0.9870146
-1.1785196,0.48122656,-0.60154027,-0.58112144,1.264605,1.593243,-0.69756544,-0.44784483,-0.77482754,-0.4012119,0.2759311,-1.1357496,0.1581074,0.90230274,0.71935844,-0.9001016,-0.6178207,0.81400394,-0.20612608,0.4020333,-0.52207154,0.001100553,0.03917949,-0.40562692,-1.1294035,0.2130183,0.37719947,0.4359733,-0.80104107,0.14734556,0.17328364,-0.20998962,-0.4177678,0.004135926,0.82918024,0.2673777,0.5027496,-1.151202,1.5968301,-1.0148906,-0.09933969,0.36174718,-0.84629434,0.4911602,1.3117895,0.4031369,-0.21468009,0.9635604,1.8021253,0.27731073
-0.9425956,-0.6059553,0.08194952,-0.65452,0.7314993,-0.09437254,1.3115134,0.5482789,-0.93597335,0.25578833,0.58884114,0.23371316,0.90368235,-0.6429306,0.2428193,1.4246467,-0.22654553,1.2210069,0.8457361,-0.39514112,-0.83553314,-0.26076156,-0.6641776,0.5457951,-0.8255995,0.14651802,1.6898199,0.87139815,-0.5825011,0.074499115,-1.1321628,0.6158828,-0.7251592,0.43211037,-0.29387334,-0.18432762,0.4307307,0.8606369,1.2588104,-0.3096017,1.2119014,0.35098535,1.1986563,1.281437,0.681831,-0.018766774,-1.3589805,-0.53917897,1.2381148,0.7899977
-1.0204092,1.2574307,0.1545199,1.1509197,-0.13383113,0.5913244,1.4337529,0.17963044,0.40617228,0.7210135,0.12113206,-0.13272753,-0.492546,0.16472964,-0.13410719,-0.68542457,0.8934727,1.0537909,0.59298015,-0.11368838,2.426841,0.8429768,1.0689672,1.0601372,1.2110732,-0.5088265,-0.7996614,0.5502101,0.6718973,0.58690935,0.25937518,0.6280237,1.0628964,0.38630494,-1.0562803,-0.22792518,1.0032951,1.4646574,0.23840426,0.33249766,1.2331483,-0.021250034,0.60925996,-0.64486235,-0.36865157,0.67686445,0.4936435,0.73067176,-0.9001016,0.52730805
1.1445736,0.9599729,0.7971714,-0.26296875,0.55103827,0.44232008,-0.37858525,-1.6437448,0.4296271,-1.3700179,0.13934366,1.0689672,-0.21274894,-0.26020944,1.1040107,-0.40010828,0.6211254,-0.2306845,-0.4668846,1.4243706,-1.3702939,-1.1531336,0.10347256,0.9839792,-0.3076699,0.33277372,0.900647,0.29414332,0.10540371,-0.82035625,-0.6189243,0.13686042,0.94203734,2.1128275,0.6707937,-0.3027034,-0.25662258,-0.16859926,0.50854427,-0.87554324,-0.22488981,-0.278145,0.47322467,-1.0124067,0.39899793,-0.9663258,0.50109386,1.5703403,-0.9850896,-0.8289103
-1.3874019,-0.121414214,-0.2883547,-1.0193056,0.62388474,-0.4999964,-0.24254932,0.98425525,-1.5151598,1.2171439,0.180458,-0.26434842,0.5957394,0.40286148,0.5391728,0.5002664,1.1633366,0.14927733,-0.6570032,0.7513666,0.4781912,0.17604296,0.24695826,-0.2163358,-0.31622392,-1.3413211,0.5758721,0.092986785,0.12113206,2.0915806,0.8402175,0.08194952,0.6343705,-0.8540208,1.1787889,-2.2808776,-0.26434842,0.05076887,0.63050693,-0.27731743,0.47212106,-0.5030318,0.5491065,-0.09409711,-0.8360846,-0.006901338,0.7858581,-1.3255928,-0.6073349,-0.43460035
