feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63
0.0077715833,0.02729687,0.06333063,0.020128,0.15900348,2.2524791e-05,0.06439857,0.007948417,0.015234297,0.061200585,0.022085462,0.03309814,0.02305825,0.003851611,0.025409203,0.16719313,0.011488106,0.23616444,0.11559663,0.08637718,0.079362035,0.0066050114,0.1454253,0.090763696,0.1172485,0.0038488947,0.08439376,0.015523114,0.08395962,0.0,0.1804287,0.15487616,0.061251797,0.0,0.009320127,0.021560872,0.16200379,0.13249132,0.016560586,0.04410044,0.022809448,0.026793249,0.21202923,0.086324036,0.1309327,0.16916308,2.6569145e-05,0.011271127,0.23731485,0.00068096543,0.00037426717,0.2196011,0.0,0.0,0.0038088756,0.02405017,0.051690318,0.028876781,0.19019647,0.052613348,0.096565284,0.07224625,0.037249792,0.0
0.007962102,0.012954918,0.06263416,0.014271468,0.115430586,0.0,0.05778085,0.009614626,0.015767176,0.034121808,0.013612811,0.017855331,0.012268574,0.0057833223,0.029125871,0.13981381,0.009655148,0.21303077,0.11131081,0.091019124,0.07837123,0.011284003,0.104544684,0.10914673,0.096778505,0.008107444,0.07769748,0.011491763,0.11618872,0.0,0.15892705,0.12740926,0.08742786,0.0,0.006496238,0.012473686,0.14050797,0.12852335,0.02699507,0.01725282,0.016269777,0.048521686,0.19065298,0.05400736,0.11503564,0.14525735,0.0,0.008425643,0.2163686,0.0,0.00042417282,0.2033303,0.0,0.0,0.006849987,0.013977978,0.051616758,0.032123927,0.20123161,0.037721273,0.07482708,0.07313426,0.01707946,0.0
0.0073150005,0.04223897,0.06571364,0.01597197,0.17716727,0.00017309388,0.0692354,0.0042150603,0.013396272,0.06876599,0.021407655,0.04071425,0.029002009,0.0028017515,0.026338285,0.16160871,0.010790238,0.23605065,0.11260381,0.075242065,0.07129964,0.0037393584,0.16421196,0.077173844,0.13269854,0.0026628023,0.09123374,0.025090402,0.082750455,0.0,0.18177414,0.15964332,0.067656755,0.0,0.02175005,0.03290211,0.16117375,0.11730583,0.013722436,0.054907486,0.023432141,0.028467005,0.20708622,0.09726052,0.14100786,0.17499278,1.0469765e-05,0.02211167,0.23928396,0.0020005298,0.00309537,0.22296199,0.0,0.0,0.0017440126,0.029799724,0.050232887,0.022117306,0.17101103,0.061432406,0.09887667,0.06479206,0.047111873,0.0
0.0059849997,0.036272846,0.067822464,0.01567547,0.17412171,0.0,0.06980608,0.00627205,0.017058536,0.05826279,0.019620655,0.03507349,0.025517983,0.003879426,0.026840268,0.15078922,0.008100534,0.2302559,0.1093377,0.07283746,0.07066072,0.0075809704,0.15566249,0.07810708,0.1335898,0.0039595747,0.09045935,0.02463742,0.08181657,0.0,0.1841203,0.15621153,0.07374836,0.0,0.019334674,0.029940182,0.15672076,0.11401679,0.018560475,0.05319278,0.02468231,0.032649733,0.20168373,0.09290154,0.14068705,0.17295824,0.0,0.021246444,0.23664135,0.001090772,0.001791359,0.21794769,0.0,0.0,0.0038603107,0.027046496,0.046942092,0.019719487,0.16518362,0.06416913,0.09651041,0.06665188,0.046650495,0.0
0.0037286854,0.038568653,0.07353244,0.006150822,0.17313546,0.0,0.07008976,0.0072609377,0.018409573,0.05690469,0.014771674,0.038703207,0.02367426,0.0034536272,0.021560838,0.13098723,0.0035873496,0.224272,0.10581564,0.063049525,0.058006953,0.0076638297,0.15724355,0.06920598,0.13951279,0.004173325,0.09330262,0.028478611,0.09293734,0.000104344246,0.1797202,0.15080257,0.08218811,0.0,0.026473982,0.03593216,0.1457197,0.09317309,0.019143656,0.052644588,0.025092445,0.03597918,0.18167585,0.088702895,0.14348084,0.1649571,0.0,0.02645855,0.23142739,0.002097919,0.006543541,0.21051782,0.0,0.0,0.004543438,0.02843511,0.03994359,0.012644809,0.14272612,0.06905581,0.08280615,0.059663348,0.043536887,0.0
0.0068789655,0.02425365,0.0674102,0.014523002,0.14478132,0.0003284745,0.06261241,0.007559117,0.015424835,0.0472448,0.016317194,0.025357196,0.016048467,0.004914038,0.025613409,0.14223723,0.008082378,0.2226356,0.110628985,0.082297765,0.07138287,0.009852093,0.12953286,0.09281861,0.11517761,0.006156026,0.08540013,0.018775167,0.10074874,0.0,0.17011097,0.14190993,0.07987264,0.0,0.013930661,0.021954052,0.1457241,0.11822293,0.021283602,0.03421679,0.020544058,0.039367076,0.19305694,0.07271003,0.1268372,0.15682602,4.8216305e-05,0.0147896875,0.22697103,0.00013884931,0.0016183631,0.2091621,0.0,0.0,0.005603922,0.021592986,0.048986625,0.024933713,0.18031135,0.051048674,0.08203226,0.06882721,0.028119035,0.0
0.004423492,0.013415271,0.058918465,0.0050080973,0.11525647,0.00030480372,0.056277074,0.012831645,0.021831624,0.03819333,0.016074378,0.025381267,0.013355079,0.0043952726,0.02646935,0.14358383,0.00019893401,0.21727419,0.11340228,0.08961935,0.07681627,0.008353376,0.10946416,0.1057974,0.098902024,0.011526051,0.07657195,0.010880386,0.11340383,0.0,0.15699753,0.12875254,0.08445766,0.0,0.006837101,0.013768929,0.14156753,0.122959375,0.025742639,0.01612453,0.016746657,0.048597824,0.18723856,0.053454094,0.11195854,0.14338331,0.0,0.009296596,0.21921048,0.0014434336,0.002779088,0.20134348,0.0,0.0,0.0073069697,0.0161213,0.044842348,0.031619,0.19060178,0.035418205,0.072118744,0.07504131,0.013893592,0.0
0.009730104,0.027462346,0.07189161,0.016857857,0.14870787,0.0,0.064950205,0.0061747073,0.017504,0.05081247,0.016344002,0.02658355,0.022358324,0.0048125433,0.028514538,0.14556375,0.009540994,0.22340229,0.10948853,0.08137712,0.068191506,0.006478358,0.13872632,0.09121483,0.1186032,0.0070713866,0.083646506,0.015343371,0.09434156,0.0,0.17288151,0.14756542,0.07526116,0.0,0.006867223,0.018808005,0.14807697,0.116305485,0.020029858,0.036081918,0.01959856,0.036441453,0.19785596,0.076632686,0.12903167,0.16098396,5.3526364e-05,0.008819189,0.22789435,0.001018886,0.0039011296,0.21931623,0.0,0.0,0.004055711,0.022223558,0.048174564,0.025268706,0.1827214,0.05283047,0.08499458,0.06381038,0.031679966,0.0
0.0085826935,0.015115583,0.06686014,0.020864844,0.120583154,0.0030072343,0.07096142,0.00206958,0.02287025,0.036330465,0.009611402,0.03407294,0.02383884,0.008487022,0.02685607,0.14715388,0.009430355,0.20209646,0.10839543,0.085307315,0.07070171,0.0066215126,0.11636421,0.10702647,0.103569105,0.007629346,0.07114945,0.0046146894,0.11623816,0.0001335882,0.15154241,0.12984298,0.08184415,0.0,0.006703217,0.009082058,0.14458595,0.12234425,0.028118534,0.021998744,0.014051986,0.04574612,0.19314171,0.056622844,0.11112196,0.16996817,0.0,0.0034744858,0.21177001,0.0023451291,0.005576096,0.2172186,0.0006306582,0.0,0.004708374,0.016466223,0.04787536,0.028471893,0.1901886,0.039917313,0.077441506,0.071497284,0.016387232,0.0
0.0077770017,0.038633782,0.06920064,0.018014451,0.17415893,0.0046096956,0.06833109,0.007135242,0.01910782,0.07000847,0.02225934,0.04174035,0.03137614,0.0026821578,0.023407944,0.17264743,0.008398397,0.24071638,0.11503915,0.08074155,0.07774366,0.005067823,0.16496392,0.08236142,0.1277501,0.005757321,0.086273454,0.018294353,0.075501114,0.0,0.18080026,0.15696964,0.058862567,0.0,0.012531671,0.029999768,0.1684505,0.12281016,0.017784573,0.054453045,0.023390966,0.021769172,0.21537241,0.09772807,0.13950554,0.1802661,0.0002760095,0.01827877,0.2410932,0.0005175002,0.0033652184,0.225308,0.00023366972,0.0,0.0,0.029203307,0.04985092,0.02444504,0.1798006,0.05789628,0.10378667,0.071825236,0.044083204,0.0
