num_peaks,max_peak,avg_peak,num_valleys,min_valley,avg_valley,peak_valley_dist,peak_peak_dist,current_var,max_diff,peak_valley_amp_diff,peak_duty_cycle
0.0,0.2959289109320108,0.31901621814293346,0.0,0.27387887193712435,0.27387887193712435,0.11538461538461664,0.0,0.3695406966015558,0.31968677985232563,0.22024732946234643,0.1777777777777907
0.5,0.3536061169663155,0.36823872749955444,0.0,0.6662043458159963,0.6662043458159963,1.0,1.0,0.034604459167334456,0.41400554954616,0.0,0.2599580712788443
0.5,0.6306054970035132,0.6096506861522011,0.0,0.9999999999999998,0.9999999999999998,0.538461538461539,0.3137254901960786,0.805493597879251,0.48269294078916436,0.05704534373476365,0.5925925925925987
1.0,0.4576358751808226,0.3365264658706113,1.0,0.07449529973801816,0.25900241434222004,0.07692307692308051,0.4019607843137255,0.22620458122987602,0.5638903259182618,0.5370329329373698,0.9999999999999999
0.5,0.9343459392436456,0.544009534842274,0.5,0.14162428725535525,0.3681769147788563,2.7269853042355408e-15,0.43137254901960825,1.0,0.9689366505196823,1.0,0.3333333333333508
0.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615552,0.0,0.01752306456221318,0.008277289187790887,0.09981827046673457,0.17777777777779813
0.5,0.11111799958669166,0.07182320441988965,0.0,0.005208814917552651,0.005208814917552651,0.6538461538461529,0.37254901960784137,0.01733831421786897,0.2224521469218831,0.21523868622844738,0.7131782945736459
0.5,0.2745608596817525,0.17153805025842095,0.0,0.26876252118970556,0.26876252118970556,0.38461538461538336,0.3333333333333338,0.06712833411688918,0.2116587499412123,0.20101059350206107,0.47736625514404607
0.5,1.0,0.697424701479237,0.0,0.279087686854677,0.279087686854677,0.8076923076923029,0.4901960784313724,0.4104097907953868,0.9999999999999999,0.9715659766854305,0.5645645645645888
0.0,0.13595784252944842,0.1465647834610586,0.0,0.2815533980582523,0.2815533980582523,0.15384615384615552,0.0,0.0,0.0,0.04317184521962682,0.07407407407410116
0.0,0.30049597024178565,0.32393958296203884,0.0,0.305439975342888,0.305439975342888,0.11538461538461389,0.0,0.03947761085597146,0.1782674128768284,0.20245113248526225,0.09661835748793235
0.0,0.23325067162636925,0.2514480484762076,0.0,0.33321004777315455,0.33321004777315455,0.11538461538461936,0.0,0.004275399327041497,0.07331985138503508,0.11036744825140733,0.09661835748795156
0.0,0.27590411241992163,0.2974291570130101,0.0,0.35373709354291893,0.35373709354291893,0.07692307692307776,0.0,0.008023406556497435,0.11778676574331007,0.14135011745933246,0.07407407407410116
0.0,0.34908038851002277,0.37631438246301907,0.0,0.3804900601017105,0.3804900601017105,0.07692307692307776,0.0,0.025703486419021957,0.20319334054460797,0.20058951287620225,0.14814814814817756
0.5,0.3334779913205209,0.23808144715736956,0.5,0.3836030204962242,0.39750346740638,0.07692307692307776,0.47058823529411864,0.032557198772384305,0.1506842872595588,0.18161872257435396,0.3742690058479686
0.5,0.4208514155817319,0.28603412938870076,0.0,0.4237324703344121,0.4237324703344121,0.19230769230769168,0.3529411764705876,0.04213529172607283,0.24570850773644354,0.24646513895660643,0.8000000000000088
0.0,0.30700557966522013,0.33095704865442865,0.0,0.5061796887039605,0.5061796887039605,0.03846153846154161,0.0,0.026783254360051637,0.061115552838263754,0.06509019990248659,0.14814814814817368
0.0,0.34275676792725795,0.3694974157904116,0.0,0.515518569887502,0.515518569887502,0.07692307692307776,0.0,0.04642987183271058,0.14224239288905619,0.0967155711183015,0.0
0.0,0.9276296755528005,1.0000000000000002,0.0,0.4331638156880875,0.4331638156880875,5.460909502374989e-15,0.0,0.2973013666131925,0.8250482058035088,0.7831656398209301,0.1212121212121473
0.0,0.36216160363711525,0.3904161468543932,0.0,0.43636924025273527,0.43636924025273527,0.0,0.0,0.01848025293046338,0.17916098386869217,0.17443818979655173,0.07407407407410427
0.5,0.37592477784666267,0.37830823382641254,0.0,0.4645708121436276,0.4645708121436276,0.30769230769231104,0.3529411764705876,0.01744783395348695,0.1481681794666792,0.16891981738398126,0.538011695906447
0.5,0.4373424261210995,0.43705444662270554,0.5,0.4627215287409463,0.4819078440437663,0.11538461538461389,0.3921568627450979,0.05147195643975157,0.1791844988947937,0.23611542041576178,0.564564564564565
0.5,0.354102087208101,0.3811486366066654,0.5,0.4629680998613037,0.5147018030513177,0.15384615384615552,0.3921568627450979,0.036539431843513354,0.139397074730753,0.14666903062807513,0.5925925925926118
0.5,0.40913411861954974,0.4079709499198003,0.5,0.47230698104484525,0.4799044536908612,0.23076923076923328,0.3921568627450979,0.061204202611870845,0.11289564031416072,0.19897167678737643,0.8000000000000059
0.5,0.9040710890679894,0.8279495633576903,0.5,0.48016643550624116,0.5197102789335797,0.03846153846154161,0.3921568627450979,0.4110000515254094,0.762380661242534,0.7241035415096848,0.625000000000003
0.0,0.4615829716883656,0.4975940117626092,0.0,0.48358760980120197,0.48358760980120197,0.3846153846153888,0.0,0.1001124024167032,0.13953816488736306,0.2471078409644964,0.12121212121214986
0.5,0.4357305228352967,0.45221440028515403,0.5,0.5046077978116812,0.5307135151795346,0.19230769230769168,0.43137254901960825,0.09112270546330781,0.21930113342425805,0.20426842781791593,0.5620915032679908
0.5,0.39960735689191995,0.341004277312422,0.0,0.4621051009400523,0.4621051009400523,0.38461538461538336,0.3921568627450979,0.039040742034715095,0.15280063960870977,0.19609059882097424,0.40404040404039443
