window_id,start_time,end_time,reconstruction_error,is_abnormal
0,30.0,34.9,0.079701975,1
1,35.0,39.9,0.07193173,1
2,40.0,44.9,0.09706229,1
3,45.0,49.9,0.03077548,0
4,50.0,54.9,0.06055447,1
5,55.0,59.9,0.057610407,0
6,60.0,64.9,0.049404792,0
7,65.0,69.9,0.04949303,0
8,70.0,74.9,0.045925807,0
9,75.0,79.9,0.02096969,0
10,80.0,84.9,0.02944152,0
11,85.0,89.9,0.010972905,0
12,90.0,94.9,0.00092638785,0
13,95.0,99.9,0.016233873,0
14,100.0,104.9,0.12545988,1
15,105.0,109.9,0.008902526,0
16,110.0,114.9,0.019263014,0
17,115.0,119.9,0.019270418,0
18,120.0,124.9,0.01927354,0
19,125.0,129.9,0.018755997,0
20,130.0,134.9,0.008050328,0
21,135.0,139.9,0.0018653491,0
22,140.0,144.9,0.0042621405,0
23,145.0,149.9,0.0065669348,0
