数据名单电势阶跃记时电流CASE2024年4月1日  14:39:35
时间: 2024/4/1 14:39:56
线数1	点数9709
0.01	0.231635486922819	
0.02	0.231025116733299	
0.03	0.231025116733299	
0.04	0.231025116733299	
0.05	0.231025116733299	
0.06	0.231025116733299	
0.07	0.231025116733299	
0.08	0.230414746543779	
0.09	0.230414746543779	
0.1	0.231025116733299	
0.11	0.231025116733299	
0.12	0.230414746543779	
0.13	0.229499191259499	
0.14	0.230414746543779	
0.15	0.230414746543779	
0.16	0.229499191259499	
0.17	0.229499191259499	
0.18	0.230414746543779	
0.19	0.229499191259499	
0.2	0.229499191259499	
0.21	0.229499191259499	
0.22	0.230109561449019	
0.23	0.229499191259499	
0.24	0.229499191259499	
0.25	0.230109561449019	
0.26	0.229499191259499	
0.27	0.229499191259499	
0.28	0.229499191259499	
0.29	0.229499191259499	
0.3	0.229499191259499	
0.31	0.229499191259499	
0.32	0.229499191259499	
0.33	0.229499191259499	
0.34	0.229499191259499	
0.35	0.229194006164739	
0.36	0.229194006164739	
0.37	0.229194006164739	
0.38	0.229194006164739	
0.39	0.229194006164739	
0.4	0.229194006164739	
0.41	0.229194006164739	
0.42	0.229194006164739	
0.43	0.229194006164739	
0.44	0.229194006164739	
0.45	0.229194006164739	
0.46	0.228888821069979	
0.47	0.228583635975219	
0.48	0.229194006164739	
0.49	0.228888821069979	
0.5	0.228583635975219	
0.51	0.228583635975219	
0.52	0.228583635975219	
0.53	0.228888821069979	
0.54	0.228583635975219	
0.55	0.228583635975219	
0.56	0.228583635975219	
0.57	0.228583635975219	
0.58	0.227973265785699	
0.59	0.228583635975219	
0.6	0.228888821069979	
0.61	0.228583635975219	
0.62	0.228583635975219	
0.63	0.228583635975219	
0.64	0.227973265785699	
0.65	0.228583635975219	
0.66	0.227973265785699	
0.67	0.227973265785699	
0.68	0.227973265785699	
0.69	0.227973265785699	
0.7	0.227668080690939	
0.71	0.227973265785699	
0.72	0.227362895596179	
0.73	0.227668080690939	
0.74	0.227668080690939	
0.75	0.227668080690939	
0.76	0.227668080690939	
0.77	0.227668080690939	
0.78	0.227362895596179	
0.79	0.227362895596179	
0.8	0.227362895596179	
0.81	0.227362895596179	
0.82	0.227362895596179	
0.83	0.227057710501419	
0.84	0.227362895596179	
0.85	0.227362895596179	
0.86	0.226752525406659	
0.87	0.227057710501419	
0.88	0.226752525406659	
0.89	0.227362895596179	
0.9	0.226752525406659	
0.91	0.227362895596179	
0.92	0.226752525406659	
0.93	0.226752525406659	
0.94	0.226752525406659	
0.95	0.226752525406659	
0.96	0.227362895596179	
0.97	0.226752525406659	
0.98	0.227057710501419	
0.99	0.226752525406659	
1	0.227362895596179	
1.01	0.226447340311899	
1.02	0.226447340311899	
1.03	0.226752525406659	
1.04	0.227057710501419	
1.05	0.226752525406659	
1.06	0.226752525406659	
1.07	0.226752525406659	
1.08	0.226142155217139	
1.09	0.226447340311899	
1.1	0.226752525406659	
1.11	0.226752525406659	
1.12	0.226142155217139	
1.13	0.226752525406659	
1.14	0.226447340311899	
1.15	0.226447340311899	
1.16	0.227057710501419	
1.17	0.226447340311899	
1.18	0.226142155217139	
1.19	0.226142155217139	
1.2	0.226447340311899	
1.21	0.226142155217139	
1.22	0.226752525406659	
1.23	0.226447340311899	
1.24	0.226142155217139	
1.25	0.226142155217139	
1.26	0.226142155217139	
1.27	0.226447340311899	
1.28	0.226142155217139	
1.29	0.226142155217139	
1.3	0.226142155217139	
1.31	0.226142155217139	
1.32	0.226142155217139	
1.33	0.226142155217139	
1.34	0.226142155217139	
1.35	0.226142155217139	
1.36	0.226142155217139	
1.37	0.226142155217139	
1.38	0.226142155217139	
1.39	0.226142155217139	
1.4	0.225531785027619	
1.41	0.226142155217139	
1.42	0.226142155217139	
1.43	0.225531785027619	
1.44	0.225531785027619	
1.45	0.226142155217139	
1.46	0.225226599932859	
1.47	0.225531785027619	
1.48	0.225531785027619	
1.49	0.225531785027619	
1.5	0.225226599932859	
1.51	0.225836970122379	
1.52	0.225531785027619	
1.53	0.225531785027619	
1.54	0.225531785027619	
1.55	0.225226599932859	
1.56	0.224616229743339	
1.57	0.225531785027619	
1.58	0.225531785027619	
1.59	0.225226599932859	
1.6	0.224921414838099	
1.61	0.225531785027619	
1.62	0.225226599932859	
1.63	0.224921414838099	
1.64	0.225531785027619	
1.65	0.224616229743339	
1.66	0.224616229743339	
1.67	0.225531785027619	
1.68	0.225531785027619	
1.69	0.225531785027619	
1.7	0.225531785027619	
1.71	0.225531785027619	
1.72	0.224616229743339	
1.73	0.224616229743339	
1.74	0.224616229743339	
1.75	0.224616229743339	
1.76	0.224616229743339	
1.77	0.224616229743339	
1.78	0.224311044648579	
1.79	0.224616229743339	
1.8	0.224616229743339	
1.81	0.225226599932859	
1.82	0.224616229743339	
1.83	0.224616229743339	
1.84	0.224921414838099	
1.85	0.224616229743339	
1.86	0.224616229743339	
1.87	0.224311044648579	
1.88	0.224311044648579	
1.89	0.224616229743339	
1.9	0.224616229743339	
1.91	0.224616229743339	
1.92	0.224616229743339	
1.93	0.224311044648579	
1.94	0.224616229743339	
1.95	0.224616229743339	
1.96	0.224616229743339	
1.97	0.224616229743339	
1.98	0.224311044648579	
1.99	0.224311044648579	
2	0.224311044648579	
2.01	0.224616229743339	
2.02	0.224311044648579	
2.03	0.224311044648579	
2.04	0.223700674459059	
2.05	0.224311044648579	
2.06	0.224311044648579	
2.07	0.224311044648579	
2.08	0.224311044648579	
2.09	0.224311044648579	
2.1	0.224005859553819	
2.11	0.223700674459059	
