normalized_time,normalized_current
0.0,-0.638744429581548
0.005025125628140704,-0.6058270866895094
0.010050251256281407,-0.5729097437974722
0.01507537688442211,-0.5399924009054335
0.020100502512562814,-0.5205955807694538
0.02512562814070352,-0.5296371975227223
0.03015075376884422,-0.5316138156823432
0.035175879396984924,-0.5336226128361298
0.04020100502512563,-0.5421630443888065
0.04522613065326633,-0.4241453976925893
0.05025125628140704,-0.2967398614312646
0.05527638190954774,-0.17297709187489774
0.06030150753768844,-0.045521748149632675
0.06532663316582915,-0.0141989889361585
0.07035175879396985,-0.006411525251186382
0.07537688442211056,-0.014282600449383712
0.08040201005025126,-0.0699378833954088
0.08542713567839195,-0.11834101658705021
0.09045226130653267,-0.16631603947639517
0.09547738693467336,-0.23250022599296793
0.10050251256281408,-0.2505124823892174
0.10552763819095477,-0.26622049699542905
0.11055276381909548,-0.2876726220983371
0.11557788944723618,-0.30140941941248833
0.12060301507537688,-0.22483506252647956
0.12562814070351758,-0.15035432009430394
0.1306532663316583,-0.08232012512983808
0.135678391959799,-0.014139539938489832
0.1407035175879397,0.010529263137996292
0.1457286432160804,0.017968388811073606
0.15075376884422112,0.015210038780910528
0.15577889447236182,0.012742373990357214
0.16080402010050251,0.006956845661206313
0.1658291457286432,0.010424218252994463
0.1708542713567839,0.015752674872195886
0.17587939698492464,0.019616298821514944
0.18090452261306533,0.0234294273062973
0.18592964824120603,0.06042963507928172
0.19095477386934673,0.08687679784660547
0.19597989949748745,0.11395206452735457
0.20100502512562815,0.14731965951947756
0.20603015075376885,0.15291232581304914
0.21105527638190955,0.09244141969596961
0.21608040201005024,0.04579622493198496
0.22110552763819097,0.004021069508359472
0.22613065326633167,-0.03705871267103262
0.23115577889447236,-0.03822519902376842
0.23618090452261306,-0.023843227014044344
0.24120603015075376,-0.007323095996642893
0.24623115577889448,0.008218852009240484
0.25125628140703515,0.02974656727501349
0.2562814070351759,0.07292202635457817
0.2613065326633166,0.1155737116988592
0.2663316582914573,0.15333685479167986
0.271356783919598,0.18821740352420077
0.2763819095477387,0.19456519959257296
0.2814070351758794,0.18903788892060458
0.2864321608040201,0.18563200581984862
0.2914572864321608,0.18147111344173228
0.2964824120603015,0.17758531603934696
0.30150753768844224,0.16314361397868163
0.3065326633165829,0.14925836157929487
0.31155778894472363,0.13501057101735583
0.3165829145728643,0.12773470457003178
0.32160804020100503,0.13405419392556245
0.32663316582914576,0.14153904712626797
0.3316582914572864,0.14388745653932716
0.33668341708542715,0.14002564488951003
0.3417085427135678,0.13435331297363698
0.34673366834170855,0.12485276946270381
0.35175879396984927,0.10910270236508804
0.35678391959798994,0.07622000510198716
0.36180904522613067,0.04089985936158004
0.36683417085427134,-0.0017091764262625226
0.37185929648241206,-0.04643644597151954
0.3768844221105528,-0.09160557996677045
0.38190954773869346,-0.14000059803804418
0.3869346733668342,-0.18868067949521283
0.3919597989949749,-0.22847923890241578
0.3969849246231156,-0.2634567477052386
0.4020100502512563,-0.29833421184745057
0.40703517587939697,-0.3327590173541093
0.4120603015075377,-0.45220996635767857
0.4170854271356784,-0.5962857536925553
0.4221105527638191,-0.7415226820920154
0.4271356783919598,-0.8876250997179231
0.4321608040201005,-0.899848643761695
0.4371859296482412,-0.8516564804789674
0.44221105527638194,-0.8025039725593792
0.4472361809045226,-0.7449566332249921
0.45226130653266333,-0.6834325088244222
0.457286432160804,-0.6356944229956061
0.4623115577889447,-0.5904570983310813
0.46733668341708545,-0.4807955510820874
0.4723618090452261,-0.4021498704717557
0.47738693467336685,-0.3474904510771419
0.4824120603015075,-0.28954565390433806
0.48743718592964824,-0.29026799615347315
0.49246231155778897,-0.29014128249629273
0.49748743718592964,-0.2915832721729854
0.5025125628140703,-0.27850655749403375
0.507537688442211,-0.25091113845943924
0.5125628140703518,-0.218305350213715
0.5175879396984925,-0.17948831899971454
0.5226130653266332,-0.13724444444454012
0.5276381909547738,-0.09617878470055641
0.5326633165829145,-0.04724241136091569
0.5376884422110553,0.008297744671925586
0.542713567839196,0.0694996889623042
0.5477386934673367,0.14785608697481198
0.5527638190954774,0.1432830321971822
0.5577889447236181,0.07931480972873198
0.5628140703517588,-0.014276429529877462
0.5678391959798995,-0.11520884055429453
0.5728643216080402,-0.11356021134238167
0.577889447236181,-0.058521437159809876
0.5829145728643216,0.0012690403789434373
0.5879396984924623,0.057161232761331705
0.592964824120603,0.06269811951746114
0.5979899497487438,0.0349495144551859
0.6030150753768845,-0.001982755052505145
0.6080402010050251,-0.03825482324587801
0.6130653266331658,0.010055343261076509
0.6180904522613065,0.09883652364187619
0.6231155778894473,0.1921597581155986
