0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-1.3453355,-1.2406691,-1.2167604,-1.2401378,-1.3017689,-1.3958097,-1.4776303,-1.5589195,-1.6205505,-1.6651803,-1.6997147,-1.7172478,-1.7257487,-1.7278739,-1.7225609,-1.7087469,-1.6959956,-1.6614612,-1.5727335,-1.4415014,-1.2868923,-1.1057179,-0.21419173,-0.025048358,0.20500566,0.20181783,-0.7205235,-0.8809769,-1.0743713,-1.2491701,-1.3740261,-1.4585032,-1.5063208,-1.5296977,-1.5419178,-1.5509499,-1.5610448,-1.5748588,-1.5929226,-1.6093931,-1.6083305,-1.5828284,-1.5238533,-1.4048418,-1.2613901,-1.109437,-0.1860331,0.09343245,0.29638982,0.4185898
0.38405484,0.32082996,0.20606828,-0.7539958,-0.96598536,-1.1551294,-1.286361,-1.3788078,-1.444158,-1.4834746,-1.5137585,-1.5397925,-1.5652952,-1.5955791,-1.6242697,-1.612581,-1.5429804,-1.422375,-1.2603276,-1.0775592,-0.21206652,-0.042581484,0.06686711,0.18694185,0.2065996,0.15771997,-0.8034067,-0.9744863,-1.1253762,-1.2406691,-1.3240838,-1.3931531,-1.4505336,-1.482412,-1.4994138,-1.5238533,-1.5472308,-1.5679518,-1.5828284,-1.4914442,-1.3708382,-1.26564,-1.2013525,-1.1599112,-1.1195319,-1.0706522,-1.0679957,-1.1455659,-1.1971021,-1.2252613
-1.2512953,-1.2852983,-1.3309908,-1.3766825,-1.4250315,-1.4648789,-1.4898503,-1.5068521,-1.5196029,-1.5270412,-1.5307603,-1.5408552,-1.5514812,-1.5031329,-1.333116,-1.190195,-1.075434,-0.28379294,-0.06277052,0.13434246,0.16515827,-0.06223922,-0.3597692,-0.5691022,-0.77577937,-0.9457957,-1.0860602,-1.1774442,-1.2396066,-1.3373665,-1.477099,-1.5605135,-1.6290514,-1.6816503,-1.7167165,-1.7082156,-1.6816503,-1.6694309,-1.5902661,-1.3607434,-1.1588485,-0.97873676,-0.16637474,0.09024461,0.37980437,0.42390287,0.23741539,-0.08296019,-0.44637161,-0.75080794
-0.96917325,-1.1269702,-1.217823,-1.2619214,-1.3060194,-1.3378978,-1.3495859,-1.3495859,-1.2677652,-1.1349397,-1.0132717,-0.8591933,0.06792973,0.43931076,0.67149,0.70814955,0.5992329,-0.41024274,-0.5983241,-0.7747168,-0.92295015,-1.0414304,-1.1259075,-1.1854132,-1.2284491,-1.2582023,-1.2789227,-1.2959244,-1.3113325,-1.3272717,-1.3448048,-1.333116,-1.2034777,-1.0573696,-0.9341076,-0.7980937,-0.5446621,-0.3050446,-0.07764712,-0.0053900043,-0.037799723,-0.16531213,-0.3379856,-0.56060135,-0.7603715,-0.91338664,-1.0270851,-1.0988115,-1.1460972,-1.1822261
-1.2093221,-1.238544,-1.2693591,-1.3033628,-1.3363038,-1.3649938,-1.3750887,-1.3177081,-1.176913,-1.00849,-0.8831021,-0.79224926,-0.6100129,0.13593638,-0.014422221,-0.23119356,-0.46071628,-0.70245904,-0.8783204,-0.9867064,-1.0494,-1.0855289,-1.1152813,-1.1460972,-1.1721312,-1.1923202,-1.2077281,-1.2188855,-1.2305744,-1.2422631,-1.2459823,-1.2491701,-1.2204795,-1.0722462,-0.88469607,-0.6907709,-0.35605004,-0.038862336,0.15559474,0.2937333,0.4435606,0.45471802,0.3484579,0.16356435,0.010017895,-0.30929506,-0.60151196,-0.78959274,-0.9165745,-1.0053021
-1.0626826,-1.0972176,-1.1227196,-1.1391902,-1.1514102,-1.1599112,-1.1673495,-1.1801008,-1.1545981,-1.0393051,-0.9016979,-0.7864049,-0.6578299,-0.5643205,-0.37198865,-0.17487565,0.011611816,0.22572663,0.21881965,0.11202819,-0.15893646,-0.4718737,-0.6870518,-0.84803647,-0.9697045,-1.0568383,-1.116344,-1.1577859,-1.1864759,-1.2071968,-1.2268552,-1.2481074,-1.270953,-1.2895488,-1.3023002,-1.3102698,-1.2443883,-1.0483373,-0.88363343,-0.7603715,-0.6668621,-0.6206384,-0.6004494,-0.6078876,-0.6046998,-0.57547796,-0.5637892,-0.61745054,-0.6679247,-0.69555205
-0.7715289,-0.88894653,-0.9914881,-1.0642766,-1.1099683,-1.1402528,-1.1620364,-1.176913,-1.1854132,-1.1886011,-1.1891325,-1.1880698,-1.1848819,-1.1816947,-1.1811634,-1.1816947,-1.1843506,-1.1886011,-1.1965708,-1.2082595,-1.2226048,-1.2406691,-1.2582023,-1.2752035,-1.2906114,-1.3049568,-1.3198334,-1.3357725,-1.3527738,-1.3697755,-1.38784,-1.4074984,-1.4282187,-1.4468144,-1.4595659,-1.4691293,-1.4744424,-1.4776303,-1.4797555,-1.4813493,-1.4786929,-1.4680667,-1.4537214,-1.4430953,-1.4170619,-1.3644625,-1.333116,-1.3299282,-1.1662868,-0.872476
-0.63976544,-0.45221534,-0.31620204,-0.24500753,-0.21791089,-0.21366043,-0.112713374,-0.13821548,-0.21472305,-0.31779596,-0.49153206,-0.6381715,-0.7524019,-0.83103466,-0.88363343,-0.9144492,-0.93198234,-0.93995136,-0.93995136,-0.93304497,-0.9202936,-0.9038231,-0.88469607,-0.8650377,-0.8560061,-0.85228693,-0.8485678,-0.8331599,-0.7534645,-0.57760316,-0.33851692,-0.18284525,-0.098899394,-0.04470671,0.013205736,0.1364677,0.21031873,0.23741539,0.24591629,0.2390093,0.18428531,0.06952365,-0.036205802,-0.12705804,-0.19665924,-0.24660146,-0.2790112,-0.2976063,-0.31035766,-0.3215151
-0.33001602,-0.33745432,-0.3443613,-0.3512683,-0.35764396,-0.36189443,-0.36986402,-0.37836432,-0.38686523,-0.39005306,-0.37305126,-0.30185676,-0.22588049,-0.18337657,-0.16903128,-0.17221911,-0.18497048,-0.19825315,-0.21312912,-0.22481787,-0.22641179,-0.21737958,-0.1780635,-0.15999907,-0.18443917,-0.24447623,-0.29973152,-0.33426648,-0.35711268,-0.37198865,-0.3911157,-0.40492967,-0.4081175,-0.39908528,-0.3911157,-0.3836774,-0.3826148,-0.37145734,-0.33267254,-0.27369812,-0.26891634,-0.30238807,-0.32417163,-0.34011084,-0.35658136,-0.37305126,-0.38208348,-0.38102084,-0.36561358,-0.33214125
-0.28804338,-0.2726355,-0.31885856,-0.39483485,-0.44955945,-0.47399893,-0.48249984,-0.49100077,-0.5032208,-0.5165035,-0.526067,-0.52872354,-0.5250044,-0.5186287,-0.51172173,-0.50534606,-0.49790776,-0.48462507,-0.43362024,-0.30716982,-0.23703793,-0.21684827,-0.21684827,-0.15096685,-0.026110971,0.03127017,0.044020917,0.03870785,0.005236133,-0.052675694,-0.1711565,-0.2896367,-0.3842087,-0.44265246,-0.47453025,-0.4867503,-0.49206337,-0.49312598,-0.4878129,-0.47984332,-0.4708111,-0.46602935,-0.4623102,-0.46018496,-0.46071628,-0.44902813,-0.33479777,-0.20037837,-0.14299725,-0.12705804
