数据名单电势阶跃记时电流CASE2024年4月1日  14:42:40
时间: 2024/4/1 14:43:58
线数1	点数12306
0.598425197	0.147
0.600393701	0.139
0.602362205	0.056
0.604330709	0.007
0.606299213	0.069
0.608267717	0.206
0.61023622	0.289
0.612204724	0.233
0.614173228	0.073
0.616141732	-0.071
0.618110236	-0.098
0.62007874	-0.006
0.622047244	0.116
0.624015748	0.174
0.625984252	0.148
0.627952756	0.084
0.62992126	0.042
0.631889764	0.039
0.633858268	0.054
0.635826772	0.068
0.637795276	0.066
0.63976378	0.047
0.641732283	0.013
0.643700787	-0.012
0.645669291	0.002
0.647637795	0.064
0.649606299	0.143
0.651574803	0.193
0.653543307	0.198
0.655511811	0.188
0.657480315	0.191
0.659448819	0.197
0.661417323	0.16
0.663385827	0.064
0.665354331	-0.042
0.667322835	-0.086
0.669291339	-0.043
0.671259843	0.03
0.673228346	0.059
0.67519685	0.026
0.677165354	0
0.679133858	0.05
0.681102362	0.156
0.683070866	0.221
0.68503937	0.173
0.687007874	0.047
0.688976378	-0.052
0.690944882	-0.059
0.692913386	-0.005
0.69488189	0.045
0.696850394	0.056
0.698818898	0.047
0.700787402	0.058
0.702755906	0.092
0.704724409	0.134
0.706692913	0.145
0.708661417	0.117
0.710629921	0.065
0.712598425	0.014
0.714566929	-0.021
0.716535433	-0.047
0.718503937	-0.072
0.720472441	-0.075
0.722440945	-0.031
0.724409449	0.053
0.726377953	0.125
0.728346457	0.14
0.730314961	0.121
0.732283465	0.132
0.734251969	0.194
0.736220472	0.241
0.738188976	0.198
0.74015748	0.1
0.742125984	0.064
0.744094488	0.16
0.746062992	0.298
0.748031496	0.326
0.75	0.208
0.751968504	0.081
0.753937008	0.095
0.755905512	0.248
0.757874016	0.373
0.75984252	0.343
0.761811024	0.211
0.763779528	0.142
0.765748031	0.223
0.767716535	0.368
0.769685039	0.45
0.771653543	0.44
0.773622047	0.423
0.775590551	0.463
0.777559055	0.516
0.779527559	0.509
0.781496063	0.43
0.783464567	0.372
0.785433071	0.42
0.787401575	0.527
0.789370079	0.574
0.791338583	0.488
0.793307087	0.319
0.795275591	0.175
0.797244094	0.122
0.799212598	0.13
0.801181102	0.132
0.803149606	0.1
0.80511811	0.046
0.807086614	-0.014
0.809055118	-0.065
0.811023622	-0.086
0.812992126	-0.062
0.81496063	-0.008
0.816929134	0.029
0.818897638	0.009
0.820866142	-0.065
0.822834646	-0.146
0.82480315	-0.182
0.826771654	-0.173
0.828740157	-0.157
0.830708661	-0.143
0.832677165	-0.123
0.834645669	-0.087
0.836614173	-0.048
0.838582677	-0.045
0.840551181	-0.071
0.842519685	-0.071
0.844488189	0.007
0.846456693	0.133
0.848425197	0.205
0.850393701	0.131
0.852362205	-0.048
0.854330709	-0.183
0.856299213	-0.164
0.858267717	-0.047
0.86023622	0.036
0.862204724	0.035
0.864173228	0.048
0.866141732	0.217
0.868110236	0.578
0.87007874	1.035
0.872047244	1.484
0.874015748	1.904
0.875984252	2.307
0.877952756	2.682
0.87992126	3.006
0.881889764	3.267
0.883858268	3.457
0.885826772	3.538
0.887795276	3.431
0.88976378	3.115
0.891732283	2.672
0.893700787	2.217
0.895669291	1.793
0.897637795	1.337
0.899606299	0.804
0.901574803	0.251
0.903543307	-0.208
0.905511811	-0.491
0.907480315	-0.609
0.909448819	-0.635
0.911417323	-0.614
0.913385827	-0.559
0.915354331	-0.48
0.917322835	-0.389
0.919291339	-0.302
0.921259843	-0.231
0.923228346	-0.19
0.92519685	-0.202
0.927165354	-0.277
0.929133858	-0.391
0.931102362	-0.488
0.933070866	-0.53
0.93503937	-0.523
0.937007874	-0.5
0.938976378	-0.485
0.940944882	-0.465
0.942913386	-0.427
0.94488189	-0.381
0.946850394	-0.377
0.948818898	-0.434
0.950787402	-0.51
0.952755906	-0.546
0.954724409	-0.529
0.956692913	-0.497
0.958661417	-0.499
0.960629921	-0.511
0.962598425	-0.473
0.964566929	-0.37
0.966535433	-0.259
0.968503937	-0.22
0.970472441	-0.262
0.972440945	-0.313
0.974409449	-0.309
0.976377953	-0.254
0.978346457	-0.2
0.980314961	-0.192
0.982283465	-0.212
0.984251969	-0.225
0.986220472	-0.211
0.988188976	-0.177
0.99015748	-0.141
0.992125984	-0.116
0.994094488	-0.113
0.996062992	-0.127
0.998031496	-0.146
1	-0.133
1.001968504	-0.068
1.003937008	0.011
1.005905512	0.037
1.007874016	-0.021
1.00984252	-0.103
1.011811024	-0.11
1.013779528	-0.011
1.015748031	0.108
1.017716535	0.135
1.019685039	0.077
1.021653543	0.056
1.023622047	0.152
1.025590551	0.287
1.027559055	0.307
1.029527559	0.178
1.031496063	0.037
1.033464567	0.028
1.035433071	0.134
1.037401575	0.213
1.039370079	0.184
1.041338583	0.117
1.043307087	0.129
1.045275591	0.239
1.047244094	0.359
1.049212598	0.411
1.051181102	0.393
1.053149606	0.348
1.05511811	0.306
1.057086614	0.285
1.059055118	0.3
1.061023622	0.34
1.062992126	0.359
1.06496063	0.324
1.066929134	0.276
1.068897638	0.291
1.070866142	0.378
1.072834646	0.453
1.07480315	0.442
1.076771654	0.39
1.078740157	0.387
1.080708661	0.456
1.082677165	0.524
1.084645669	0.543
1.086614173	0.559
1.088582677	0.643
1.090551181	0.758
1.092519685	0.802
1.094488189	0.75
1.096456693	0.695
1.098425197	0.731
1.100393701	0.823
1.102362205	0.842
1.104330709	0.741
1.106299213	0.624
1.108267717	0.611
1.11023622	0.694
1.112204724	0.767
1.114173228	0.771
1.116141732	0.777
1.118110236	0.857
1.12007874	0.977
1.122047244	1.015
1.124015748	0.933
1.125984252	0.842
1.127952756	0.859
1.12992126	0.948
1.131889764	0.974
1.133858268	0.885
1.135826772	0.786
1.137795276	0.805
1.13976378	0.913
1.141732283	0.994
1.143700787	0.989
1.145669291	0.947
1.147637795	0.947
1.149606299	0.956
1.151574803	0.902
1.153543307	0.779
1.155511811	0.683
1.157480315	0.692
1.159448819	0.772
1.161417323	0.798
1.163385827	0.7
1.165354331	0.525
1.167322835	0.369
1.169291339	0.296
1.171259843	0.3
1.173228346	0.31
1.17519685	0.26
1.177165354	0.129
1.179133858	-0.033
1.181102362	-0.123
1.183070866	-0.073
1.18503937	0.077
1.187007874	0.188
1.188976378	0.16
1.190944882	0.028
1.192913386	-0.086
1.19488189	-0.098
1.196850394	-0.041
1.198818898	-0.017
1.200787402	-0.09
1.202755906	-0.219
1.204724409	-0.314
1.206692913	-0.322
1.208661417	-0.278
1.210629921	-0.255
1.212598425	-0.273
1.214566929	-0.276
1.216535433	-0.218
1.218503937	-0.152
1.220472441	-0.189
1.222440945	-0.333
1.224409449	-0.44
1.226377953	-0.365
1.228346457	-0.167
1.230314961	-0.053
1.232283465	-0.141
1.234251969	-0.311
1.236220472	-0.348
1.238188976	-0.211
1.24015748	-0.071
1.242125984	-0.073
1.244094488	-0.163
1.246062992	-0.181
1.248031496	-0.108
1.25	-0.085
1.251968504	-0.196
1.253937008	-0.313
1.255905512	-0.258
1.257874016	-0.071
1.25984252	0.023
1.261811024	-0.107
1.263779528	-0.305
1.265748031	-0.319
1.267716535	-0.112
1.269685039	0.088
1.271653543	0.087
1.273622047	-0.064
1.275590551	-0.154
1.277559055	-0.093
1.279527559	0.012
1.281496063	0.033
1.283464567	-0.023
1.285433071	-0.052
1.287401575	-0.017
1.289370079	0.02
1.291338583	0.004
1.293307087	-0.038
1.295275591	-0.044
1.297244094	-0.016
1.299212598	-0.007
1.301181102	-0.029
1.303149606	-0.016
1.30511811	0.068
1.307086614	0.149
1.309055118	0.118
1.311023622	-0.008
1.312992126	-0.062
1.31496063	0.067
1.316929134	0.255
1.318897638	0.277
1.320866142	0.082
1.322834646	-0.114
1.32480315	-0.076
1.326771654	0.16
1.328740157	0.323
1.330708661	0.235
1.332677165	0.014
1.334645669	-0.08
1.336614173	0.027
1.338582677	0.169
1.340551181	0.17
1.342519685	0.064
1.344488189	-0.007
1.346456693	0.025
1.348425197	0.066
1.350393701	0.023
1.352362205	-0.061
1.354330709	-0.076
1.356299213	0.01
1.358267717	0.111
1.36023622	0.124
1.362204724	0.058
1.364173228	0.014
1.366141732	0.068
1.368110236	0.168
1.37007874	0.191
1.372047244	0.084
1.374015748	-0.057
1.375984252	-0.089
1.377952756	0.009
1.37992126	0.103
1.381889764	0.061
1.383858268	-0.069
1.385826772	-0.111
1.387795276	0.013
1.38976378	0.178
1.391732283	0.195
1.393700787	0.042
1.395669291	-0.117
1.397637795	-0.129
1.399606299	-0.015
1.401574803	0.088
1.403543307	0.11
1.405511811	0.081
1.407480315	0.035
1.409448819	-0.022
1.411417323	-0.049
1.413385827	0.017
1.415354331	0.164
1.417322835	0.266
1.419291339	0.201
1.421259843	0.025
1.423228346	-0.05
1.42519685	0.079
1.427165354	0.258
1.429133858	0.255
1.431102362	0.046
1.433070866	-0.151
1.43503937	-0.131
1.437007874	0.046
1.438976378	0.151
1.440944882	0.076
1.442913386	-0.048
1.44488189	-0.046
1.446850394	0.081
1.448818898	0.171
1.450787402	0.129
1.452755906	0.044
1.454724409	0.052
1.456692913	0.155
1.458661417	0.213
1.460629921	0.138
1.462598425	0.002
1.464566929	-0.068
1.466535433	-0.037
1.468503937	0.027
1.470472441	0.024
1.472440945	-0.049
1.474409449	-0.111
1.476377953	-0.104
1.478346457	-0.04
1.480314961	0.046
1.482283465	0.141
1.484251969	0.241
1.486220472	0.329
1.488188976	0.341
1.49015748	0.246
1.492125984	0.106
1.494094488	0.032
1.496062992	0.056
1.498031496	0.1
1.5	0.064
1.501968504	-0.038
1.503937008	-0.09
1.505905512	-0.013
1.507874016	0.151
1.50984252	0.29
1.511811024	0.361
1.513779528	0.402
1.515748031	0.437
1.517716535	0.445
1.519685039	0.399
1.521653543	0.323
1.523622047	0.274
1.525590551	0.261
1.527559055	0.24
1.529527559	0.173
1.531496063	0.106
1.533464567	0.118
1.535433071	0.235
1.537401575	0.394
1.539370079	0.49
1.541338583	0.469
1.543307087	0.404
1.545275591	0.4
1.547244094	0.494
1.549212598	0.614
1.551181102	0.639
1.553149606	0.531
1.55511811	0.385
1.557086614	0.34
1.559055118	0.434
1.561023622	0.552
1.562992126	0.564
1.56496063	0.466
1.566929134	0.39
1.568897638	0.426
1.570866142	0.501
1.572834646	0.475
1.57480315	0.325
1.576771654	0.176
1.578740157	0.156
1.580708661	0.219
1.582677165	0.217
1.584645669	0.069
1.586614173	-0.129
1.588582677	-0.218
1.590551181	-0.139
1.592519685	0.017
1.594488189	0.129
1.596456693	0.143
1.598425197	0.073
1.600393701	-0.037
1.602362205	-0.101
1.604330709	-0.031
1.606299213	0.157
1.608267717	0.284
1.61023622	0.171
1.612204724	-0.139
1.614173228	-0.369
1.616141732	-0.295
1.618110236	-0.005
1.62007874	0.206
1.622047244	0.167
1.624015748	-0.005
1.625984252	-0.08
1.627952756	0.012
1.62992126	0.155
1.631889764	0.221
1.633858268	0.198
1.635826772	0.129
1.637795276	0.033
1.63976378	-0.065
1.641732283	-0.067
1.643700787	0.118
1.645669291	0.445
1.647637795	0.753
1.649606299	0.955
1.651574803	1.147
1.653543307	1.498
1.655511811	2.021
1.657480315	2.543
1.659448819	2.883
1.661417323	3.041
1.663385827	3.135
1.665354331	3.241
1.667322835	3.276
1.669291339	3.116
1.671259843	2.769
1.673228346	2.361
1.67519685	1.976
1.677165354	1.568
1.679133858	1.057
1.681102362	0.478
1.683070866	-0.023
1.68503937	-0.327
1.687007874	-0.47
1.688976378	-0.578
1.690944882	-0.691
1.692913386	-0.721
1.69488189	-0.588
1.696850394	-0.368
1.698818898	-0.219
1.700787402	-0.2
1.702755906	-0.21
1.704724409	-0.15
1.706692913	-0.093
1.708661417	-0.174
1.710629921	-0.401
1.712598425	-0.594
1.714566929	-0.584
1.716535433	-0.427
1.718503937	-0.33
1.720472441	-0.402
1.722440945	-0.535
1.724409449	-0.534
1.726377953	-0.372
1.728346457	-0.206
1.730314961	-0.207
1.732283465	-0.369
1.734251969	-0.533
1.736220472	-0.563
1.738188976	-0.463
1.74015748	-0.334
1.742125984	-0.254
1.744094488	-0.235
1.746062992	-0.239
1.748031496	-0.229
1.75	-0.193
1.751968504	-0.144
1.753937008	-0.101
1.755905512	-0.107
1.757874016	-0.189
1.75984252	-0.312
1.761811024	-0.383
1.763779528	-0.342
1.765748031	-0.223
1.767716535	-0.123
1.769685039	-0.111
1.771653543	-0.151
1.773622047	-0.163
1.775590551	-0.11
1.777559055	-0.046
1.779527559	-0.032
1.781496063	-0.065
1.783464567	-0.083
1.785433071	-0.057
1.787401575	-0.04
1.789370079	-0.077
1.791338583	-0.118
1.793307087	-0.081
1.795275591	0.04
1.797244094	0.135
1.799212598	0.113
1.801181102	0.008
1.803149606	-0.036
1.80511811	0.054
1.807086614	0.198
1.809055118	0.26
1.811023622	0.205
1.812992126	0.117
1.81496063	0.089
1.816929134	0.115
1.818897638	0.139
1.820866142	0.129
1.822834646	0.121
1.82480315	0.147
1.826771654	0.198
1.828740157	0.248
1.830708661	0.27
1.832677165	0.265
1.834645669	0.252
1.836614173	0.265
1.838582677	0.316
1.840551181	0.375
1.842519685	0.379
1.844488189	0.301
1.846456693	0.198
1.848425197	0.172
1.850393701	0.256
1.852362205	0.379
1.854330709	0.455
1.856299213	0.463
1.858267717	0.452
1.86023622	0.475
1.862204724	0.548
1.864173228	0.638
1.866141732	0.706
1.868110236	0.726
1.87007874	0.707
1.872047244	0.689
1.874015748	0.697
1.875984252	0.694
1.877952756	0.63
1.87992126	0.537
1.881889764	0.529
1.883858268	0.663
1.885826772	0.831
1.887795276	0.869
1.88976378	0.751
1.891732283	0.639
1.893700787	0.691
1.895669291	0.859
1.897637795	0.968
1.899606299	0.927
1.901574803	0.836
1.903543307	0.831
1.905511811	0.914
1.907480315	0.948
1.909448819	0.859
1.911417323	0.726
1.913385827	0.705
1.915354331	0.849
1.917322835	1.027
1.919291339	1.055
1.921259843	0.899
1.923228346	0.73
1.92519685	0.752
1.927165354	0.956
1.929133858	1.124
1.931102362	1.073
1.933070866	0.861
1.93503937	0.679
1.937007874	0.636
1.938976378	0.656
1.940944882	0.644
1.942913386	0.636
1.94488189	0.707
1.946850394	0.801
1.948818898	0.766
1.950787402	0.584
1.952755906	0.43
1.954724409	0.446
1.956692913	0.54
1.958661417	0.494
1.960629921	0.255
1.962598425	0.014
1.964566929	-0.058
1.966535433	-0.014
1.968503937	-0.023
1.970472441	-0.123
1.972440945	-0.178
1.974409449	-0.093
1.976377953	0.046
1.978346457	0.065
1.980314961	-0.054
1.982283465	-0.172
1.984251969	-0.165
1.986220472	-0.08
1.988188976	-0.066
1.99015748	-0.169
1.992125984	-0.29
1.994094488	-0.308
1.996062992	-0.219
1.998031496	-0.132
2	-0.147
2.001968504	-0.225
2.003937008	-0.247
2.005905512	-0.174
2.007874016	-0.072
2.00984252	-0.054
2.011811024	-0.137
2.013779528	-0.225
2.015748031	-0.232
2.017716535	-0.188
2.019685039	-0.166
2.021653543	-0.161
2.023622047	-0.11
2.025590551	-0.003
2.027559055	0.062
2.029527559	0.002
2.031496063	-0.123
2.033464567	-0.156
2.035433071	-0.039
2.037401575	0.107
2.039370079	0.111
2.041338583	-0.038
2.043307087	-0.177
2.045275591	-0.156
2.047244094	-0.009
2.049212598	0.085
2.051181102	0.033
2.053149606	-0.091
2.05511811	-0.137
2.057086614	-0.068
2.059055118	0.023
2.061023622	0.044
2.062992126	0.002
2.06496063	-0.033
2.066929134	-0.026
2.068897638	-0.014
2.070866142	-0.02
2.072834646	-0.002
2.07480315	0.055
2.076771654	0.082
2.078740157	-0.002
2.080708661	-0.157
2.082677165	-0.234
2.084645669	-0.135
2.086614173	0.037
2.088582677	0.078
2.090551181	-0.049
2.092519685	-0.169
2.094488189	-0.096
2.096456693	0.133
2.098425197	0.301
2.100393701	0.277
2.102362205	0.142
2.104330709	0.072
2.106299213	0.104
2.108267717	0.127
2.11023622	0.053
2.112204724	-0.058
2.114173228	-0.094
2.116141732	-0.031
2.118110236	0.063
2.12007874	0.109
2.122047244	0.103
2.124015748	0.067
2.125984252	0.027
2.127952756	0.022
2.12992126	0.085
2.131889764	0.188
2.133858268	0.236
2.135826772	0.161
2.137795276	0.022
2.13976378	-0.04
2.141732283	0.054
2.143700787	0.217
2.145669291	0.277
2.147637795	0.164
2.149606299	-0.007
2.151574803	-0.062
2.153543307	0.021
2.155511811	0.104
2.157480315	0.04
2.159448819	-0.149
2.161417323	-0.284
2.163385827	-0.223
2.165354331	-0.008
2.167322835	0.161
2.169291339	0.145
2.171259843	0.004
2.173228346	-0.075
2.17519685	0.028
2.177165354	0.229
2.179133858	0.353
2.181102362	0.307
2.183070866	0.18
2.18503937	0.13
2.187007874	0.201
2.188976378	0.275
2.190944882	0.21
2.192913386	0.025
2.19488189	-0.132
2.196850394	-0.131
2.198818898	-0.008
2.200787402	0.084
2.202755906	0.069
2.204724409	0.018
2.206692913	0.057
2.208661417	0.208
2.210629921	0.346
2.212598425	0.357
2.214566929	0.249
2.216535433	0.148
2.218503937	0.168
2.220472441	0.273
2.222440945	0.338
2.224409449	0.289
2.226377953	0.191
2.228346457	0.155
2.230314961	0.206
2.232283465	0.253
2.234251969	0.222
2.236220472	0.125
2.238188976	0.054
2.24015748	0.061
2.242125984	0.111
2.244094488	0.146
2.246062992	0.159
2.248031496	0.186
2.25	0.227
2.251968504	0.242
2.253937008	0.212
2.255905512	0.176
2.257874016	0.176
2.25984252	0.204
2.261811024	0.228
2.263779528	0.237
2.265748031	0.227
2.267716535	0.207
