1.968503937	-96.40625
1.970472441	-80.78125
1.972440945	-72.1875
1.974409449	-85.46875
1.976377953	-107.18750000000001
1.978346457	-110.15625
1.980314961	-91.56249999999999
1.982283465	-73.125
1.984251969	-74.21875
1.986220472	-87.50000000000001
1.988188976	-89.68750000000001
1.99015748	-73.59374999999999
1.992125984	-54.6875
1.994094488	-51.87500000000001
1.996062992	-65.78125
1.998031496	-79.375
2	-77.03125
2.001968504	-64.84375
2.003937008	-61.40625000000001
2.005905512	-72.8125
2.007874016	-88.75
2.00984252	-91.56249999999999
2.011811024	-78.59375
2.013779528	-64.84375
2.015748031	-63.75000000000001
2.017716535	-70.625
2.019685039	-74.0625
2.021653543	-74.84375
2.023622047	-82.8125
2.025590551	-99.53125
2.027559055	-109.68749999999999
2.029527559	-100.3125
2.031496063	-80.78125
2.033464567	-75.625
2.035433071	-93.90624999999999
2.037401575	-116.71875
2.039370079	-117.34374999999999
2.041338583	-94.0625
2.043307087	-72.34375
2.045275591	-75.625
2.047244094	-98.59375
2.049212598	-113.28125
2.051181102	-105.15625
2.053149606	-85.78125000000001
2.05511811	-78.59375
2.057086614	-89.375
2.059055118	-103.59375
2.061023622	-106.87500000000001
2.062992126	-100.3125
2.06496063	-94.84375
2.066929134	-95.9375
2.068897638	-97.8125
2.070866142	-96.875
2.072834646	-99.6875
2.07480315	-108.59375
2.076771654	-112.8125
2.078740157	-99.6875
2.080708661	-75.46875
2.082677165	-63.4375
2.084645669	-78.90625
2.086614173	-105.78125
2.088582677	-112.1875
2.090551181	-92.34374999999999
2.092519685	-73.59374999999999
2.094488189	-85.00000000000001
2.096456693	-120.78125
2.098425197	-147.03125
2.100393701	-143.28125
2.102362205	-122.1875
2.104330709	-111.24999999999999
2.106299213	-116.24999999999999
2.108267717	-119.84375
2.11023622	-108.28125000000001
2.112204724	-90.9375
2.114173228	-85.3125
2.116141732	-95.15625
2.118110236	-109.84375000000001
2.12007874	-117.03124999999999
2.122047244	-116.09375
2.124015748	-110.46875
2.125984252	-104.21875
2.127952756	-103.4375
2.12992126	-113.28125
2.131889764	-129.37500000000003
2.133858268	-136.875
2.135826772	-125.15625000000001
2.137795276	-103.4375
2.13976378	-93.75
2.141732283	-108.43750000000001
2.143700787	-133.90625
2.145669291	-143.28125
2.147637795	-125.62500000000001
2.149606299	-98.90625
2.151574803	-90.3125
2.153543307	-103.28125000000001
2.155511811	-116.24999999999999
2.157480315	-106.25
2.159448819	-76.71875
2.161417323	-55.625
2.163385827	-65.15625
2.165354331	-98.75
2.167322835	-125.15625000000001
2.169291339	-122.65625
