Time(S),Current(A)
65.0,-2.6029e-06
65.1,-2.4808e-06
65.2,-2.1838e-06
65.3,-2.1235e-06
65.4,-2.0273e-06
65.5,-2.2904e-06
65.6,-2.5278e-06
65.7,-2.5064e-06
65.8,-1.881e-06
65.9,-2.6588e-06
66.0,-2.1119e-06
66.1,-2.6761e-06
66.2,-2.809e-06
66.3,-2.248e-06
66.4,-2.0513e-06
66.5,-2.5042e-06
66.6,-2.2313e-06
66.7,-2.1646e-06
66.8,-2.4388e-06
66.9,-2.3332e-06
67.0,-2.3065e-06
67.1,-2.4982e-06
67.2,-2.2954e-06
67.3,-2.9549e-06
67.4,-2.6198e-06
67.5,-2.4202e-06
67.6,-2.2697e-06
67.7,-2.222e-06
67.8,-2.3852e-06
67.9,-2.2477e-06
68.0,-2.8023e-06
68.1,-2.1417e-06
68.2,-1.9587e-06
68.3,-2.1173e-06
68.4,-2.383e-06
68.5,-3.0704e-06
68.6,-1.9073e-06
68.7,-1.8387e-06
68.8,-2.8763e-06
68.9,-2.3788e-06
69.0,-2.4888e-06
69.1,-1.9931e-06
69.2,-2.0209e-06
69.3,-2.5356e-06
69.4,-2.8109e-06
69.5,-2.2775e-06
69.6,-2.3423e-06
69.7,-3.0721e-06
69.8,-2.9827e-06
69.9,-2.1188e-06
