epoch,accuracy,val_accuracy,loss,val_loss
1,0.4185945391654968,0.5968283414840698,1.5017560720443726,1.2464220523834229
2,0.618827760219574,0.631965160369873,1.0788127183914185,0.8995598554611206
3,0.6838464140892029,0.7595770955085754,0.8151233196258545,0.6972529292106628
4,0.7448538541793823,0.8174751400947571,0.7182930707931519,0.6511545181274414
5,0.8236940503120422,0.8830223679542542,0.5959765315055847,0.5187510848045349
6,0.8337686657905579,0.84732586145401,0.5116595029830933,0.4533250033855438
7,0.8388059735298157,0.8519900441169739,0.4488510489463806,0.3993522524833679
8,0.8452580571174622,0.8648009896278381,0.39700812101364136,0.3513263165950775
9,0.853047251701355,0.8288556933403015,0.38271859288215637,0.3715524971485138
10,0.8363339304924011,0.8500621914863586,0.3676983118057251,0.3382675051689148
11,0.8482742309570312,0.878731369972229,0.3305620551109314,0.28493189811706543
12,0.859188437461853,0.8751243948936462,0.3026086688041687,0.2747829258441925
13,0.8630130887031555,0.8654850721359253,0.29262426495552063,0.2712058424949646
14,0.8715329766273499,0.888059675693512,0.2725162208080292,0.2386738508939743
15,0.8950715065002441,0.9861318469047546,0.2659171223640442,0.18687689304351807
16,0.8276119232177734,0.8485074639320374,0.3389333188533783,0.29130831360816956
17,0.861784815788269,0.9037935137748718,0.28870800137519836,0.246266707777977
18,0.9142413139343262,0.9627487659454346,0.2354722023010254,0.16962063312530518
19,0.9575404524803162,1.0,0.17581157386302948,0.10790352523326874
20,0.9699471592903137,1.0,0.14619620144367218,0.08909862488508224
21,0.9687655568122864,1.0,0.1431596428155899,0.07526333630084991
22,0.9735074639320374,1.0,0.12201710045337677,0.06335849314928055
23,0.9798973798751831,1.0,0.10293793678283691,0.05145670846104622
24,0.9956001043319702,1.0,0.06597244739532471,0.04113318771123886
25,0.9961753487586975,1.0,0.05590187758207321,0.03382144495844841
26,0.9930814504623413,1.0,0.05897468701004982,0.0277171041816473
27,0.9969993829727173,1.0,0.04216807335615158,0.02150857076048851
28,0.9934079647064209,1.0,0.04839020594954491,0.018577268347144127
29,0.997854471206665,1.0,0.03151851147413254,0.015957174822688103
30,0.9982742667198181,0.9533582329750061,0.027668511494994164,0.12227202206850052
31,0.9891013503074646,0.9572139382362366,0.05469038709998131,0.19449065625667572
32,0.9931591749191284,1.0,0.04556119814515114,0.011019578203558922
33,0.9979321956634521,1.0,0.024698005989193916,0.010129313915967941
34,0.9980877041816711,1.0,0.022581303492188454,0.00858109351247549
35,0.9984763860702515,1.0,0.01909170299768448,0.007523562293499708
36,0.9972947835922241,1.0,0.021780526265501976,0.006223146338015795
37,0.9988806247711182,1.0,0.01542134489864111,0.005585243925452232
38,0.9989272356033325,1.0,0.013746204786002636,0.005012223031371832
39,0.9993003606796265,1.0,0.012006602250039577,0.004030587617307901
40,0.9989272356033325,1.0,0.011721482500433922,0.0035761906765401363
41,0.9989427924156189,1.0,0.011053571477532387,0.0030322677921503782
42,0.9981809854507446,1.0,0.013010583817958832,0.0029051760211586952
43,0.9988183975219727,1.0,0.011314255185425282,0.0024902194272726774
44,0.998833954334259,1.0,0.010433485731482506,0.0020679105073213577
45,0.9995957612991333,1.0,0.006994083523750305,0.0017377629410475492
46,0.9995335936546326,1.0,0.00657055526971817,0.0014437515055760741
47,0.9993936419487,1.0,0.005797223653644323,0.0013837156584486365
48,0.9996579885482788,1.0,0.005346040707081556,0.0011091334745287895
49,0.9993470311164856,1.0,0.0058701359666883945,0.0009513591649010777
50,0.999626874923706,0.998009979724884,0.004560864996165037,0.010932560078799725
