序号,相对时间(s),R（Ω）,X（Ω）,时间
94,10.12,21605.3,-1719.82,2026/01/23 17:15:08
95,10.23,21604,-1719.58,2026/01/23 17:15:08
96,10.34,21600.6,-1721.33,2026/01/23 17:15:08
97,10.45,21608.2,-1717.5,2026/01/23 17:15:08
98,10.56,21597.7,-1721.25,2026/01/23 17:15:08
99,10.67,21607,-1718.04,2026/01/23 17:15:08
100,10.78,21597.9,-1719.68,2026/01/23 17:15:08
101,10.89,21604.6,-1719.81,2026/01/23 17:15:08
102,11,21598.5,-1719.89,2026/01/23 17:15:09
103,11.11,21601.5,-1719.79,2026/01/23 17:15:09
104,11.21,21601.4,-1717.97,2026/01/23 17:15:09
105,11.32,21597.8,-1720.75,2026/01/23 17:15:09
106,11.43,21603.5,-1719.07,2026/01/23 17:15:09
107,11.54,21596.1,-1720.04,2026/01/23 17:15:09
108,11.65,21601.7,-1720.49,2026/01/23 17:15:09
109,11.76,21596.4,-1719.52,2026/01/23 17:15:09
110,11.87,21599.7,-1719.16,2026/01/23 17:15:09
111,11.97,21597.7,-1719.97,2026/01/23 17:15:10
112,12.08,21597.1,-1721.16,2026/01/23 17:15:10
113,12.19,21599.5,-1718.02,2026/01/23 17:15:10
114,12.3,21595.2,-1721.14,2026/01/23 17:15:10
115,12.41,21598.9,-1719.81,2026/01/23 17:15:10
116,12.52,21596.2,-1719.7,2026/01/23 17:15:10
117,12.63,21597.7,-1718.92,2026/01/23 17:15:10
118,12.74,21597.2,-1720.17,2026/01/23 17:15:10
119,12.84,21595.3,-1722.3,2026/01/23 17:15:10
120,12.95,21599.1,-1719.45,2026/01/23 17:15:11
121,13.06,21594.9,-1721.76,2026/01/23 17:15:11
122,13.17,21598.3,-1719.23,2026/01/23 17:15:11
123,13.28,21595.9,-1722.92,2026/01/23 17:15:11
124,13.39,21597.9,-1716.46,2026/01/23 17:15:11
125,13.49,21595.6,-1721.79,2026/01/23 17:15:11
126,13.6,21597.2,-1719.01,2026/01/23 17:15:11
127,13.71,21597.9,-1719.75,2026/01/23 17:15:11
128,13.82,21593.8,-1718.55,2026/01/23 17:15:11
129,13.93,21597.6,-1717.7,2026/01/23 17:15:12
130,14.04,21591.5,-1722.38,2026/01/23 17:15:12
131,14.15,21598.4,-1716.53,2026/01/23 17:15:12
132,14.26,21590.4,-1722.33,2026/01/23 17:15:12
133,14.37,21596.4,-1719.89,2026/01/23 17:15:12
134,14.47,21594,-1720.37,2026/01/23 17:15:12
135,14.58,21595.2,-1719.66,2026/01/23 17:15:12
136,14.69,21595.8,-1719.21,2026/01/23 17:15:12
137,14.8,21592.8,-1721.37,2026/01/23 17:15:12
138,14.91,21597.6,-1718.64,2026/01/23 17:15:13
139,15.02,21591.3,-1721.24,2026/01/23 17:15:13
140,15.13,21598.3,-1721.31,2026/01/23 17:15:13
141,15.24,21592.7,-1719.65,2026/01/23 17:15:13
142,15.35,21596,-1720.04,2026/01/23 17:15:13
143,15.46,21592.9,-1720.41,2026/01/23 17:15:13
144,15.56,21595.5,-1720.31,2026/01/23 17:15:13
145,15.67,21594.4,-1720.51,2026/01/23 17:15:13
146,15.78,21592.6,-1721.41,2026/01/23 17:15:13
147,15.89,21596.3,-1718.5,2026/01/23 17:15:13
148,16,21590.6,-1721.03,2026/01/23 17:15:14
149,16.11,21594.5,-1719.62,2026/01/23 17:15:14
150,16.22,21593,-1722.81,2026/01/23 17:15:14
151,16.33,21594.2,-1717.42,2026/01/23 17:15:14
152,16.44,21590.8,-1723.15,2026/01/23 17:15:14
153,16.55,21594.7,-1717.84,2026/01/23 17:15:14
154,16.65,21590.5,-1722.64,2026/01/23 17:15:14
155,16.76,21593,-1719.15,2026/01/23 17:15:14
156,16.87,21591.1,-1721.55,2026/01/23 17:15:14
157,16.98,21591.5,-1720.38,2026/01/23 17:15:15
158,17.09,21593.6,-1719.19,2026/01/23 17:15:15
159,17.2,21588.8,-1722.06,2026/01/23 17:15:15
160,17.31,21595.4,-1718.55,2026/01/23 17:15:15
161,17.42,21587.6,-1721.65,2026/01/23 17:15:15
162,17.53,21594.6,-1720.42,2026/01/23 17:15:15
163,17.64,21588.5,-1719.92,2026/01/23 17:15:15
164,17.75,21594.1,-1722,2026/01/23 17:15:15
165,17.85,21591.8,-1720.04,2026/01/23 17:15:15
166,17.96,21593.6,-1720.68,2026/01/23 17:15:16
167,18.07,21596.6,-1719.46,2026/01/23 17:15:16
168,18.18,21593.7,-1721.17,2026/01/23 17:15:16
169,18.29,21597.3,-1719.29,2026/01/23 17:15:16
170,18.4,21596,-1723.81,2026/01/23 17:15:16
171,18.51,21599.4,-1717.92,2026/01/23 17:15:16
172,18.61,21596.4,-1723.79,2026/01/23 17:15:16
173,18.72,21599.4,-1719.48,2026/01/23 17:15:16
174,18.83,21599.9,-1721.03,2026/01/23 17:15:16
175,18.94,21598.6,-1719.98,2026/01/23 17:15:17
176,19.05,21602.2,-1719.99,2026/01/23 17:15:17
177,19.16,21594.9,-1723.75,2026/01/23 17:15:17
178,19.27,21605,-1718.92,2026/01/23 17:15:17
179,19.38,21596,-1723.3,2026/01/23 17:15:17
180,19.49,21604.8,-1720.57,2026/01/23 17:15:17
181,19.6,21597.2,-1719.41,2026/01/23 17:15:17
182,19.7,21602.4,-1722.48,2026/01/23 17:15:17
183,19.81,21598.9,-1722.01,2026/01/23 17:15:17
184,19.92,21600.7,-1720.83,2026/01/23 17:15:18
185,20.03,21602.6,-1719.99,2026/01/23 17:15:18
186,20.14,21598.1,-1722.37,2026/01/23 17:15:18
187,20.25,21602.2,-1720.62,2026/01/23 17:15:18
188,20.36,21597.4,-1721.54,2026/01/23 17:15:18
189,20.47,21602.4,-1719.23,2026/01/23 17:15:18
190,20.58,21597.6,-1723.92,2026/01/23 17:15:18
191,20.69,21603.4,-1717.42,2026/01/23 17:15:18
192,20.79,21597.4,-1723.55,2026/01/23 17:15:18
193,20.9,21604.3,-1720.54,2026/01/23 17:15:18
194,21.01,21601.2,-1722.08,2026/01/23 17:15:19
195,21.12,21604.5,-1720.29,2026/01/23 17:15:19
196,21.23,21603.6,-1721.78,2026/01/23 17:15:19
197,21.34,21605.8,-1722.62,2026/01/23 17:15:19
198,21.45,21608.8,-1718.59,2026/01/23 17:15:19
199,21.56,21607,-1722.39,2026/01/23 17:15:19
200,21.67,21612,-1720.27,2026/01/23 17:15:19
201,21.78,21611,-1721.35,2026/01/23 17:15:19
202,21.88,21614.2,-1720.46,2026/01/23 17:15:19
203,21.99,21613.7,-1723.86,2026/01/23 17:15:20
204,22.1,21617.5,-1718.68,2026/01/23 17:15:20
205,22.21,21617.4,-1723.55,2026/01/23 17:15:20
206,22.32,21620.1,-1720.37,2026/01/23 17:15:20
207,22.43,21620.7,-1722.91,2026/01/23 17:15:20
208,22.54,21620.1,-1723.05,2026/01/23 17:15:20
209,22.65,21626.2,-1719.75,2026/01/23 17:15:20
210,22.76,21621.6,-1724.54,2026/01/23 17:15:20
211,22.86,21630.8,-1720.9,2026/01/23 17:15:20
212,22.97,21623.6,-1721.08,2026/01/23 17:15:21
213,23.08,21630.9,-1722.94,2026/01/23 17:15:21
214,23.19,21629.3,-1721.4,2026/01/23 17:15:21
215,23.3,21630.1,-1722.62,2026/01/23 17:15:21
216,23.41,21633.3,-1720.65,2026/01/23 17:15:21
217,23.52,21630.3,-1723.96,2026/01/23 17:15:21
218,23.63,21635.1,-1722.8,2026/01/23 17:15:21
219,23.74,21632,-1723.26,2026/01/23 17:15:21
220,23.84,21637.4,-1721.23,2026/01/23 17:15:21
221,23.95,21634.1,-1725.74,2026/01/23 17:15:22
222,24.06,21641,-1719.39,2026/01/23 17:15:22
223,24.17,21635.3,-1724.24,2026/01/23 17:15:22
224,24.28,21642.2,-1722.13,2026/01/23 17:15:22
225,24.39,21639.5,-1723.03,2026/01/23 17:15:22
226,24.5,21642.6,-1723.18,2026/01/23 17:15:22
227,24.61,21641.9,-1721.9,2026/01/23 17:15:22
228,24.72,21641.6,-1725.49,2026/01/23 17:15:22
229,24.83,21644.1,-1721.03,2026/01/23 17:15:22
230,24.93,21641.4,-1724.11,2026/01/23 17:15:23
231,25.04,21644.5,-1723.31,2026/01/23 17:15:23
232,25.15,21644.4,-1723.89,2026/01/23 17:15:23
233,25.26,21645.1,-1720.12,2026/01/23 17:15:23
234,25.37,21644.6,-1724.43,2026/01/23 17:15:23
235,25.48,21644.7,-1720.79,2026/01/23 17:15:23
236,25.59,21645.6,-1723.67,2026/01/23 17:15:23
237,25.7,21641.9,-1722.23,2026/01/23 17:15:23
238,25.8,21646.7,-1721.29,2026/01/23 17:15:23
239,25.91,21640.3,-1724.83,2026/01/23 17:15:24
240,26.02,21649.7,-1720.57,2026/01/23 17:15:24
241,26.13,21640.4,-1722.79,2026/01/23 17:15:24
242,26.24,21647.4,-1722.54,2026/01/23 17:15:24
243,26.35,21644.4,-1722.18,2026/01/23 17:15:24
244,26.46,21646.4,-1723.92,2026/01/23 17:15:24
245,26.57,21646.4,-1722.04,2026/01/23 17:15:24
246,26.67,21643.7,-1725.93,2026/01/23 17:15:24
247,26.78,21647.6,-1722.52,2026/01/23 17:15:24
248,26.89,21644.8,-1723.39,2026/01/23 17:15:24
249,27,21646.7,-1720.72,2026/01/23 17:15:25
250,27.11,21645.6,-1726.42,2026/01/23 17:15:25
251,27.22,21646.8,-1720.6,2026/01/23 17:15:25
252,27.33,21647.6,-1723.3,2026/01/23 17:15:25
253,27.44,21646,-1722.13,2026/01/23 17:15:25
254,27.54,21649.3,-1722.1,2026/01/23 17:15:25
255,27.65,21645.1,-1724.66,2026/01/23 17:15:25
256,27.76,21651.7,-1720.33,2026/01/23 17:15:25
257,27.87,21643.7,-1724.03,2026/01/23 17:15:25
258,27.98,21652.1,-1723.44,2026/01/23 17:15:26
259,28.09,21646.8,-1722.86,2026/01/23 17:15:26
260,28.2,21652.1,-1724.32,2026/01/23 17:15:26
261,28.31,21650,-1722.61,2026/01/23 17:15:26
262,28.42,21651.4,-1723.37,2026/01/23 17:15:26
263,28.53,21652.8,-1721.03,2026/01/23 17:15:26
264,28.63,21648.6,-1725.51,2026/01/23 17:15:26
265,28.74,21652.6,-1722.79,2026/01/23 17:15:26
266,28.85,21650.6,-1724.6,2026/01/23 17:15:26
