window_id,start_time,end_time,start_index,end_index
0,80.0,84.9,0,50
1,82.5,87.4,25,75
2,85.0,89.9,50,100
3,87.5,92.4,75,125
4,90.0,94.9,100,150
5,92.5,97.4,125,175
6,95.0,99.9,150,200
