0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-1.5941793,-1.6510758,-1.6662731,-1.6759105,-1.6862887,-1.717054,-1.7741362,-1.8010093,-1.8126849,-1.8265847,-1.8421526,-1.8532727,-1.8671724,-1.9170268,-1.9770743,-1.986341,-1.9681783,-1.9646567,-1.9989432,-2.040643,-2.0890145,-2.0966132,-2.0780797,-2.0625122,-2.056211,-2.0513923,-2.0626974,-2.034527,-1.9989432,-1.9648423,-1.9333361,-1.9259228,-1.9705874,-2.021739,-2.0710375,-2.0832691,-2.0967987,-2.0990226,-2.0714083,-2.013214,-1.9214748,-1.8263996,-1.7593095,-1.7207607,-1.6953702,-1.7366993,-1.7943373,-1.8556818,-1.8988642,-1.9338919
-1.9513133,-1.9435292,-1.8862615,-1.8302914,-1.7687613,-1.7087138,-1.6531143,-1.6153067,-1.5756459,-1.5674913,-1.5838006,-1.6078935,-1.6418092,-1.666829,-1.6818407,-1.6670145,-1.6394,-1.5787964,-1.5098532,-1.4505471,-1.4179285,-1.3888314,-1.377897,-1.4132954,-1.4751962,-1.5270891,-1.5552592,-1.5513675,-1.4959531,-1.4598134,-1.4390565,-1.4003221,-1.3562132,-1.3297108,-1.3680745,-1.4368324,-1.5115211,-1.5484022,-1.5623019,-1.5611899,-1.5398768,-1.525977,-1.5428421,-1.5250502,-1.5072587,-1.517081,-1.5396913,-1.582318,-1.6242027,-1.6518172
-1.6634929,-1.6653463,-1.6562651,-1.588063,-1.5168955,-1.4588869,-1.4116272,-1.3753023,-1.344537,-1.3489851,-1.3897583,-1.4483231,-1.4987333,-1.5370971,-1.563414,-1.5795376,-1.581391,-1.5411739,-1.5461781,-1.5689739,-1.5762017,-1.5763873,-1.5689739,-1.5313516,-1.4989184,-1.5298688,-1.6001095,-1.6681265,-1.7063047,-1.7226139,-1.7224284,-1.7098258,-1.6718332,-1.64496,-1.6254998,-1.604743,-1.6023334,-1.612527,-1.6245735,-1.6299479,-1.6560796,-1.6809143,-1.7185366,-1.7331778,-1.7407762,-1.7472631,-1.7409618,-1.6638637,-1.6227201,-1.5863953
-1.55563,-1.5322784,-1.5194902,-1.5402474,-1.5786113,-1.6308748,-1.6634929,-1.6775782,-1.6831383,-1.6801729,-1.6442187,-1.5493286,-1.4692656,-1.4132954,-1.3773408,-1.3595492,-1.3549157,-1.3491706,-1.3816036,-1.4840918,-1.5391355,-1.5569274,-1.5875072,-1.6416241,-1.6801729,-1.6885127,-1.6801729,-1.6823969,-1.7105671,-1.6987063,-1.6640491,-1.5989975,-1.4898373,-1.471304,-1.4472111,-1.3964303,-1.3174788,-1.1803331,-1.0524546,-0.9171623,-0.85174036,-0.817454,-0.80411,-0.83024174,-0.9366221,-1.1456761,-1.3971711,-1.5643408,-1.6842502,-1.7569004
-1.8052717,-1.8338128,-1.8419676,-1.8756977,-1.9702168,-2.0169208,-2.0141404,-1.9642861,-1.8634658,-1.789148,-1.794893,-1.8349249,-1.8638364,-1.8736593,-1.8706939,-1.8629099,-1.8410406,-1.660157,-1.5272741,-1.433311,-1.3788234,-1.3562132,-1.3841983,-1.4223765,-1.466856,-1.5396913,-1.6060401,-1.6373612,-1.6440332,-1.6351372,-1.5183781,-1.5055904,-1.4905787,-1.460184,-1.4179285,-1.3934649,-1.4068085,-1.4364618,-1.4763082,-1.5074438,-1.5196757,-1.5122625,-1.4811269,-0.8122646,-0.6056197,-0.4803354,-0.41157746,-0.3854457,-0.4067588,-0.4981274
-0.5648469,-0.64750457,-0.7027334,-0.72905076,-0.7271974,-0.6619606,-0.6117355,-0.57096267,-0.55020535,-0.53890026,-0.53556424,-0.6063611,-0.71793073,-0.85674417,-0.97980446,-1.0672809,-1.1171353,-1.1139843,-1.0237283,-0.9453325,-0.90048236,-0.8519255,-0.85211104,-0.9260583,-1.0074189,-1.087482,-1.1668041,-1.2251838,-1.2594697,-1.2698485,-1.2464969,-1.1037912,-0.9918509,-0.9399581,-0.89918524,-0.8699026,-0.88176394,-0.96812874,-1.0504158,-1.1304792,-1.1912681,-1.2266665,-1.2346356,-1.1517923,-0.9305063,-0.7766807,-0.6780843,-0.61636907,-0.57707846,-0.570592
-0.65602994,-0.75944495,-0.84896016,-0.9343981,-0.9631245,-0.9755416,-0.9822136,-0.9103052,-0.7757542,-0.69698834,-0.6358288,-0.590608,-0.565032,-0.58263844,-0.6582539,-0.7372054,-0.8276471,-0.908637,-0.96887004,-1.0172414,-1.0396664,-1.0407784,-0.9136412,-0.73090404,-0.61340374,-0.5390858,-0.49108472,-0.46087566,-0.45086765,-0.49497652,-0.5804144,-0.688463,-0.7835382,-0.8610066,-0.90252125,-0.9103052,-0.89640504,-0.7485105,-0.65121126,-0.57930243,-0.5285216,-0.49126986,-0.47273698,-0.50757915,-0.59765065,-0.6845712,-0.7498076,-0.79669666,-0.8237553,-0.8446977
-0.84451216,-0.8293153,-0.672895,-0.5602133,-0.48663676,-0.43919188,-0.4180639,-0.45327723,-0.5401978,-0.63731146,-0.708479,-0.77871954,-0.8050364,-0.8243111,-0.81726843,-0.794102,-0.64453924,-0.54742557,-0.47718498,-0.42288256,-0.38637215,-0.39119083,-0.457169,-0.53315514,-0.59283197,-0.6361995,-0.67382187,-0.69216967,-0.6715979,-0.63694084,-0.51202714,-0.4102799,-0.3422633,-0.29889578,-0.28277203,-0.28332782,-0.3118691,-0.36172307,-0.39489746,-0.43474388,-0.46069053,-0.47366342,-0.48441276,-0.47329277,-0.4388212,-0.32891932,-0.24107228,-0.18306324,-0.17046101,-0.16897835
-0.19640723,-0.24626161,-0.30093423,-0.3517151,-0.38285103,-0.39471236,-0.39082015,-0.35727507,-0.3663566,-0.41732258,-0.42658922,-0.42492145,-0.44475186,-0.51777273,-0.57207465,-0.6098822,-0.572816,-0.52018183,-0.461617,-0.39971614,-0.33837152,-0.20845366,-0.14655326,-0.08743221,-0.036280714,-0.0032918507,0.012832345,0.014685677,-0.026272725,-0.08038956,-0.12375707,-0.1417346,-0.12301574,-0.06648979,0.086038284,0.21076639,0.2737792,0.28415787,0.2737792,0.23763947,0.18444951,0.12625535,0.07936629,0.057126317,0.059165195,0.09141272,0.20557706,0.29305387,0.34439048,0.36941025
0.3631089,0.3063974,0.23467414,0.14942177,0.07547451,0.026361447,-0.0018091857,-0.0075542964,0.043412093,0.10735137,0.17740686,0.22281282,0.2483888,0.23356214,0.19241862,0.13552158,0.069358304,0.0057896874,-0.041840706,-0.063153796,-0.06482201,-0.050551146,-0.0075542964,0.07009964,0.0990116,0.12847935,0.15312843,0.15776154,0.11680315,0.065280974,-0.0005116382,-0.051848695,-0.087247096,-0.10559486,-0.10856019,-0.09762532,-0.068343125,0.023766784,0.11847136,0.14089645,0.15702021,0.1737002,0.18259618,0.17462665,0.13292734,0.068431854,0.010052133,-0.03479805,-0.06797246,-0.08872976
