Time:,2024/12/12 23:12:38
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),3000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
1.0000e-001,4.0290e-003
2.0000e-001,4.2039e-003
3.0000e-001,4.7349e-003
4.0000e-001,4.9005e-003
5.0000e-001,5.1198e-003
6.0000e-001,5.3548e-003
7.0000e-001,5.5922e-003
8.0000e-001,5.8122e-003
9.0000e-001,6.0028e-003
1.0000e+000,6.1672e-003
1.1000e+000,6.3109e-003
1.2000e+000,6.4357e-003
1.3000e+000,6.5412e-003
1.4000e+000,6.6286e-003
1.5000e+000,6.7014e-003
1.6000e+000,6.7649e-003
1.7000e+000,6.8169e-003
1.8000e+000,6.8517e-003
1.9000e+000,6.8547e-003
2.0000e+000,6.8209e-003
2.1000e+000,6.7857e-003
2.2000e+000,6.7589e-003
2.3000e+000,6.7527e-003
2.4000e+000,6.7572e-003
2.5000e+000,6.7637e-003
2.6000e+000,6.7727e-003
2.7000e+000,6.7835e-003
2.8000e+000,6.7963e-003
2.9000e+000,6.8120e-003
3.0000e+000,6.8304e-003
3.1000e+000,6.8481e-003
3.2000e+000,6.8601e-003
3.3000e+000,6.8782e-003
3.4000e+000,6.9101e-003
3.5000e+000,6.9571e-003
3.6000e+000,7.0085e-003
3.7000e+000,7.0547e-003
3.8000e+000,7.0982e-003
3.9000e+000,7.1394e-003
4.0000e+000,7.1744e-003
4.1000e+000,7.2037e-003
4.2000e+000,7.2272e-003
4.3000e+000,7.2441e-003
4.4000e+000,7.2531e-003
4.5000e+000,7.2551e-003
4.6000e+000,7.2538e-003
4.7000e+000,7.2446e-003
4.8000e+000,7.2061e-003
4.9000e+000,7.1394e-003
5.0000e+000,7.0863e-003
5.1000e+000,7.0540e-003
5.2000e+000,7.0339e-003
5.3000e+000,7.0214e-003
5.4000e+000,7.0132e-003
5.5000e+000,7.0102e-003
5.6000e+000,7.0102e-003
5.7000e+000,7.0138e-003
5.8000e+000,7.0321e-003
5.9000e+000,7.0739e-003
6.0000e+000,7.1371e-003
6.1000e+000,7.2253e-003
6.2000e+000,7.3148e-003
6.3000e+000,7.3749e-003
