Time:,2024/12/13 0:05:27
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),2000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
1.9300e+001,3.1688e-003
1.9400e+001,3.1241e-003
1.9500e+001,3.0565e-003
1.9600e+001,2.9938e-003
1.9700e+001,2.9505e-003
1.9800e+001,2.9258e-003
1.9900e+001,2.9242e-003
2.0000e+001,2.9446e-003
2.0100e+001,2.9710e-003
2.0200e+001,3.0142e-003
2.0300e+001,3.0714e-003
2.0400e+001,3.1178e-003
2.0500e+001,3.1489e-003
2.0600e+001,3.1692e-003
2.0700e+001,3.1829e-003
2.0800e+001,3.1925e-003
2.0900e+001,3.2011e-003
2.1000e+001,3.2092e-003
2.1100e+001,3.2150e-003
2.1200e+001,3.2178e-003
2.1300e+001,3.2192e-003
2.1400e+001,3.2150e-003
2.1500e+001,3.1910e-003
2.1600e+001,3.1408e-003
2.1700e+001,3.0790e-003
2.1800e+001,3.0245e-003
2.1900e+001,2.9827e-003
2.2000e+001,2.9582e-003
2.2100e+001,2.9567e-003
2.2200e+001,2.9847e-003
2.2300e+001,3.0311e-003
2.2400e+001,3.0811e-003
2.2500e+001,3.1264e-003
2.2600e+001,3.1626e-003
2.2700e+001,3.1881e-003
2.2800e+001,3.2069e-003
2.2900e+001,3.2286e-003
2.3000e+001,3.2416e-003
2.3100e+001,3.2478e-003
2.3200e+001,3.2482e-003
2.3300e+001,3.2376e-003
2.3400e+001,3.2014e-003
2.3500e+001,3.1475e-003
2.3600e+001,3.0863e-003
2.3700e+001,3.0226e-003
2.3800e+001,2.9784e-003
2.3900e+001,2.9564e-003
2.4000e+001,2.9609e-003
2.4100e+001,2.9952e-003
2.4200e+001,3.0422e-003
2.4300e+001,3.0885e-003
2.4400e+001,3.1290e-003
2.4500e+001,3.1632e-003
2.4600e+001,3.1873e-003
2.4700e+001,3.2030e-003
2.4800e+001,3.2127e-003
2.4900e+001,3.2176e-003
2.5000e+001,3.2191e-003
2.5100e+001,3.2161e-003
2.5200e+001,3.2009e-003
2.5300e+001,3.1673e-003
2.5400e+001,3.1116e-003
2.5500e+001,3.0448e-003
2.5600e+001,2.9901e-003
2.5700e+001,2.9548e-003
2.5800e+001,2.9370e-003
2.5900e+001,2.9458e-003
2.6000e+001,2.9850e-003
2.6100e+001,3.0362e-003
2.6200e+001,3.0851e-003
2.6300e+001,3.1276e-003
2.6400e+001,3.1623e-003
2.6500e+001,3.1888e-003
2.6600e+001,3.2088e-003
2.6700e+001,3.2231e-003
2.6800e+001,3.2313e-003
2.6900e+001,3.2345e-003
2.7000e+001,3.2332e-003
2.7100e+001,3.2217e-003
2.7200e+001,3.1862e-003
2.7300e+001,3.1308e-003
2.7400e+001,3.0622e-003
2.7500e+001,2.9964e-003
2.7600e+001,2.9502e-003
2.7700e+001,2.9272e-003
2.7800e+001,2.9347e-003
2.7900e+001,2.9732e-003
2.8000e+001,3.0240e-003
2.8100e+001,3.0739e-003
2.8200e+001,3.1197e-003
2.8300e+001,3.1628e-003
2.8400e+001,3.1993e-003
2.8500e+001,3.2279e-003
2.8600e+001,3.2446e-003
2.8700e+001,3.2527e-003
2.8800e+001,3.2549e-003
2.8900e+001,3.2525e-003
2.9000e+001,3.2361e-003
2.9100e+001,3.1967e-003
2.9200e+001,3.1368e-003
2.9300e+001,3.0666e-003
2.9400e+001,3.0027e-003
2.9500e+001,2.9604e-003
2.9600e+001,2.9491e-003
2.9700e+001,2.9811e-003
2.9800e+001,3.0399e-003
2.9900e+001,3.0960e-003
3.0000e+001,3.1405e-003
3.0100e+001,3.1755e-003
3.0200e+001,3.2166e-003
3.0300e+001,3.2605e-003
3.0400e+001,3.2845e-003
3.0500e+001,3.2927e-003
3.0600e+001,3.2888e-003
3.0700e+001,3.2726e-003
3.0800e+001,3.2474e-003
3.0900e+001,3.2120e-003
3.1000e+001,3.1583e-003
3.1100e+001,3.0874e-003
3.1200e+001,3.0154e-003
3.1300e+001,2.9640e-003
3.1400e+001,2.9378e-003
3.1500e+001,2.9473e-003
3.1600e+001,2.9959e-003
3.1700e+001,3.0575e-003
3.1800e+001,3.1147e-003
3.1900e+001,3.1595e-003
3.2000e+001,3.1963e-003
3.2100e+001,3.2293e-003
3.2200e+001,3.2529e-003
3.2300e+001,3.2659e-003
3.2400e+001,3.2705e-003
3.2500e+001,3.2695e-003
3.2600e+001,3.2602e-003
3.2700e+001,3.2375e-003
3.2800e+001,3.1971e-003
3.2900e+001,3.1292e-003
3.3000e+001,3.0544e-003
3.3100e+001,2.9920e-003
3.3200e+001,2.8244e-003
3.3300e+001,2.8107e-003
3.3400e+001,2.0336e-003
3.3500e+001,1.0707e-003
3.3600e+001,1.0565e-003
3.3700e+001,2.4910e-003
3.3800e+001,2.8574e-003
3.3900e+001,2.9576e-003
3.4000e+001,3.0254e-003
3.4100e+001,3.0926e-003
3.4200e+001,3.1106e-003
3.4300e+001,3.1154e-003
3.4400e+001,3.1450e-003
3.4500e+001,3.1591e-003
3.4600e+001,2.6515e-003
3.4700e+001,1.8732e-003
3.4800e+001,1.4968e-003
3.4900e+001,2.7237e-003
3.5000e+001,2.7452e-003
3.5100e+001,2.7720e-003
3.5200e+001,2.7889e-003
3.5300e+001,1.3495e-003
3.5400e+001,2.3688e-003
3.5500e+001,8.8696e-004
3.5600e+001,2.7201e-003
3.5700e+001,2.7616e-003
3.5800e+001,2.8064e-003
3.5900e+001,2.8462e-003
3.6000e+001,2.9326e-003
3.6100e+001,2.9675e-003
3.6200e+001,3.0290e-003
3.6300e+001,3.0640e-003
3.6400e+001,3.0854e-003
3.6500e+001,3.0989e-003
3.6600e+001,3.1037e-003
3.6700e+001,3.0821e-003
3.6800e+001,3.0275e-003
3.6900e+001,2.9591e-003
3.7000e+001,2.8937e-003
3.7100e+001,2.0331e-003
3.7200e+001,2.5989e-003
3.7300e+001,2.6830e-003
3.7400e+001,2.7625e-003
3.7500e+001,2.8328e-003
3.7600e+001,2.8464e-003
3.7700e+001,2.9327e-003
3.7800e+001,2.9966e-003
3.7900e+001,3.0410e-003
3.8000e+001,3.0701e-003
3.8100e+001,3.0883e-003
3.8200e+001,3.1004e-003
3.8300e+001,3.1085e-003
3.8400e+001,3.1098e-003
3.8500e+001,3.0986e-003
3.8600e+001,3.0504e-003
3.8700e+001,2.9692e-003
3.8800e+001,2.8939e-003
3.8900e+001,7.7636e-004
3.9000e+001,2.6113e-003
3.9100e+001,2.5797e-003
3.9200e+001,2.6851e-003
3.9300e+001,2.7900e-003
3.9400e+001,2.8823e-003
3.9500e+001,2.9551e-003
3.9600e+001,3.0073e-003
3.9700e+001,3.0464e-003
3.9800e+001,3.0732e-003
3.9900e+001,3.0902e-003
4.0000e+001,3.1000e-003
4.0100e+001,3.1060e-003
4.0200e+001,3.1063e-003
4.0300e+001,3.1076e-003
4.0400e+001,3.1087e-003
4.0500e+001,3.0967e-003
4.0600e+001,2.8213e-003
4.0700e+001,2.8325e-003
4.0800e+001,2.8140e-003
