Time:,2024/12/13 0:21:24
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),2000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
1.8200e+001,-2.1428e-006
1.8300e+001,-2.4345e-006
1.8400e+001,-2.7194e-006
1.8500e+001,-2.3020e-006
1.8600e+001,-2.5293e-006
1.8700e+001,-2.5366e-006
1.8800e+001,-2.4664e-006
1.8900e+001,-2.7593e-006
1.9000e+001,-2.6753e-006
1.9100e+001,-2.1899e-006
1.9200e+001,-2.4690e-006
1.9300e+001,-2.3202e-006
1.9400e+001,-2.0882e-006
1.9500e+001,-2.1170e-006
1.9600e+001,-2.6884e-006
1.9700e+001,-2.1169e-006
1.9800e+001,-2.2601e-006
1.9900e+001,-2.0039e-006
2.0000e+001,-2.9064e-006
2.0100e+001,-2.6891e-006
2.0200e+001,-2.3242e-006
2.0300e+001,-2.6514e-006
2.0400e+001,-2.4349e-006
2.0500e+001,-2.0375e-006
2.0600e+001,-2.7333e-006
2.0700e+001,-1.9672e-006
2.0800e+001,-2.4623e-006
2.0900e+001,-2.8673e-006
2.1000e+001,-2.0092e-006
2.1100e+001,-2.5189e-006
2.1200e+001,-2.3308e-006
2.1300e+001,-2.2818e-006
2.1400e+001,-1.9875e-006
2.1500e+001,-2.1767e-006
2.1600e+001,-1.9284e-006
2.1700e+001,-2.3036e-006
2.1800e+001,-2.4441e-006
2.1900e+001,-2.3187e-006
2.2000e+001,-2.4260e-006
2.2100e+001,-2.0222e-006
2.2200e+001,-1.9980e-006
2.2300e+001,-2.1334e-006
2.2400e+001,-2.0708e-006
2.2500e+001,-2.4978e-006
2.2600e+001,-2.1578e-006
2.2700e+001,-2.0701e-006
2.2800e+001,-2.3901e-006
2.2900e+001,-2.6578e-006
2.3000e+001,-2.4326e-006
2.3100e+001,-2.1657e-006
2.3200e+001,-2.4518e-006
2.3300e+001,-2.4345e-006
2.3400e+001,-2.1389e-006
2.3500e+001,-2.8034e-006
2.3600e+001,-2.4341e-006
2.3700e+001,-2.0093e-006
2.3800e+001,-1.6707e-006
2.3900e+001,-2.3047e-006
2.4000e+001,-2.0369e-006
2.4100e+001,-2.2789e-006
2.4200e+001,-2.2449e-006
2.4300e+001,-2.2625e-006
2.4400e+001,-2.2550e-006
2.4500e+001,-2.5453e-006
2.4600e+001,-2.7193e-006
2.4700e+001,-2.5854e-006
2.4800e+001,-1.9885e-006
2.4900e+001,-2.7130e-006
2.5000e+001,-2.1250e-006
2.5100e+001,-2.7494e-006
2.5200e+001,-2.5188e-006
2.5300e+001,-2.4339e-006
2.5400e+001,-3.0458e-006
2.5500e+001,-2.3845e-006
2.5600e+001,-2.4597e-006
2.5700e+001,-2.5633e-006
2.5800e+001,-2.2781e-006
2.5900e+001,-2.5846e-006
2.6000e+001,-2.2480e-006
2.6100e+001,-2.6836e-006
2.6200e+001,-2.5273e-006
2.6300e+001,-2.6117e-006
2.6400e+001,-2.5815e-006
2.6500e+001,-2.6004e-006
2.6600e+001,-2.4376e-006
2.6700e+001,-2.4656e-006
2.6800e+001,-2.6293e-006
2.6900e+001,-1.9730e-006
2.7000e+001,-2.6887e-006
2.7100e+001,-2.4225e-006
2.7200e+001,-1.8523e-006
2.7300e+001,-2.2760e-006
2.7400e+001,-1.9523e-006
2.7500e+001,-2.4385e-006
2.7600e+001,-1.9901e-006
2.7700e+001,-2.4133e-006
2.7800e+001,-2.5400e-006
2.7900e+001,-2.6826e-006
2.8000e+001,-2.3649e-006
2.8100e+001,-1.6948e-006
2.8200e+001,-2.9549e-006
2.8300e+001,-2.9545e-006
2.8400e+001,-2.8469e-006
2.8500e+001,-3.0562e-006
2.8600e+001,-2.2212e-006
2.8700e+001,-2.5462e-006
2.8800e+001,-2.6802e-006
2.8900e+001,-1.9010e-006
2.9000e+001,-2.2244e-006
2.9100e+001,-2.3552e-006
2.9200e+001,-2.5928e-006
2.9300e+001,-2.2970e-006
2.9400e+001,-2.4455e-006
2.9500e+001,-2.1266e-006
2.9600e+001,-1.8976e-006
2.9700e+001,-2.3753e-006
2.9800e+001,-2.0026e-006
2.9900e+001,-2.4043e-006
3.0000e+001,-2.1916e-006
3.0100e+001,-2.6961e-006
3.0200e+001,-2.2720e-006
3.0300e+001,-2.7201e-006
3.0400e+001,-1.8723e-006
3.0500e+001,-2.1542e-006
3.0600e+001,-2.7596e-006
3.0700e+001,-2.6496e-006
3.0800e+001,-2.3670e-006
3.0900e+001,-2.1675e-006
3.1000e+001,-3.0882e-006
3.1100e+001,-2.6136e-006
3.1200e+001,-2.4454e-006
3.1300e+001,-2.4539e-006
3.1400e+001,-2.3033e-006
3.1500e+001,-2.5889e-006
3.1600e+001,-2.5044e-006
3.1700e+001,-2.4854e-006
3.1800e+001,-2.4277e-006
3.1900e+001,-2.1232e-006
3.2000e+001,-2.4328e-006
3.2100e+001,-2.4446e-006
3.2200e+001,-2.1704e-006
3.2300e+001,-2.6794e-006
3.2400e+001,-2.4875e-006
3.2500e+001,-2.3754e-006
3.2600e+001,-2.7026e-006
3.2700e+001,-2.7376e-006
3.2800e+001,-2.1703e-006
3.2900e+001,-2.1914e-006
3.3000e+001,-2.0745e-006
3.3100e+001,-2.2507e-006
3.3200e+001,-2.6698e-006
3.3300e+001,-2.5716e-006
3.3400e+001,-2.2788e-006
