Time:,2024/12/12 23:57:37
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),4000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
1.0000e-001,6.5150e-003
2.0000e-001,6.5660e-003
3.0000e-001,6.6259e-003
4.0000e-001,6.6805e-003
5.0000e-001,6.7313e-003
6.0000e-001,6.7851e-003
7.0000e-001,6.8392e-003
8.0000e-001,6.8722e-003
9.0000e-001,6.8990e-003
1.0000e+000,6.9378e-003
1.1000e+000,6.9813e-003
1.2000e+000,7.0228e-003
1.3000e+000,7.0574e-003
1.4000e+000,7.0858e-003
1.5000e+000,7.1097e-003
1.6000e+000,7.1287e-003
1.7000e+000,7.1421e-003
1.8000e+000,7.1429e-003
1.9000e+000,7.1301e-003
2.0000e+000,7.1201e-003
2.1000e+000,7.1147e-003
2.2000e+000,7.1183e-003
2.3000e+000,7.1292e-003
2.4000e+000,7.1359e-003
2.5000e+000,7.1401e-003
2.6000e+000,7.1508e-003
2.7000e+000,7.1685e-003
2.8000e+000,7.1826e-003
2.9000e+000,7.1890e-003
3.0000e+000,7.2023e-003
3.1000e+000,7.2208e-003
3.2000e+000,7.2383e-003
3.3000e+000,7.2526e-003
3.4000e+000,7.2646e-003
3.5000e+000,7.2746e-003
3.6000e+000,7.2821e-003
3.7000e+000,7.2856e-003
3.8000e+000,7.2774e-003
3.9000e+000,7.2619e-003
4.0000e+000,7.2498e-003
4.1000e+000,7.2480e-003
4.2000e+000,7.2495e-003
4.3000e+000,7.2490e-003
4.4000e+000,7.2450e-003
4.5000e+000,7.2404e-003
4.6000e+000,7.2437e-003
4.7000e+000,7.2584e-003
4.8000e+000,7.2832e-003
4.9000e+000,7.3059e-003
5.0000e+000,7.3291e-003
5.1000e+000,7.3645e-003
5.2000e+000,7.4064e-003
5.3000e+000,7.4358e-003
5.4000e+000,7.4555e-003
5.5000e+000,7.4694e-003
5.6000e+000,7.4767e-003
5.7000e+000,7.4732e-003
5.8000e+000,7.4510e-003
5.9000e+000,7.4162e-003
6.0000e+000,7.3843e-003
6.1000e+000,7.3601e-003
6.2000e+000,7.3480e-003
6.3000e+000,7.3385e-003
