Time:,2024/12/13 0:41:51
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),2000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
1.0000e-001,2.7967e-003
2.0000e-001,2.8294e-003
3.0000e-001,2.8647e-003
4.0000e-001,2.8953e-003
5.0000e-001,2.9230e-003
6.0000e-001,2.9459e-003
7.0000e-001,2.9631e-003
8.0000e-001,2.9754e-003
9.0000e-001,2.9881e-003
1.0000e+000,3.0056e-003
1.1000e+000,3.0136e-003
1.2000e+000,3.0134e-003
1.3000e+000,3.0143e-003
1.4000e+000,3.0192e-003
1.5000e+000,3.0250e-003
1.6000e+000,3.0181e-003
1.7000e+000,3.0071e-003
1.8000e+000,2.9966e-003
1.9000e+000,2.9869e-003
2.0000e+000,2.9781e-003
2.1000e+000,2.9679e-003
2.2000e+000,2.9582e-003
2.3000e+000,2.9500e-003
2.4000e+000,2.9444e-003
2.5000e+000,2.9456e-003
2.6000e+000,2.9680e-003
2.7000e+000,2.9965e-003
2.8000e+000,3.0159e-003
2.9000e+000,3.0187e-003
3.0000e+000,3.0078e-003
3.1000e+000,3.0030e-003
3.2000e+000,3.0062e-003
3.3000e+000,3.0124e-003
3.4000e+000,3.0206e-003
3.5000e+000,3.0302e-003
3.6000e+000,3.0411e-003
3.7000e+000,3.0525e-003
3.8000e+000,3.0632e-003
3.9000e+000,3.0728e-003
4.0000e+000,3.0808e-003
4.1000e+000,3.0868e-003
4.2000e+000,3.0912e-003
4.3000e+000,3.0968e-003
4.4000e+000,3.0894e-003
4.5000e+000,3.0748e-003
4.6000e+000,3.0625e-003
4.7000e+000,3.0521e-003
4.8000e+000,3.0495e-003
4.9000e+000,3.0550e-003
5.0000e+000,3.0670e-003
5.1000e+000,3.0798e-003
5.2000e+000,3.0927e-003
5.3000e+000,3.1025e-003
5.4000e+000,3.1100e-003
5.5000e+000,3.1148e-003
5.6000e+000,3.1198e-003
5.7000e+000,3.1260e-003
5.8000e+000,3.1355e-003
5.9000e+000,3.1475e-003
6.0000e+000,3.1599e-003
6.1000e+000,3.1709e-003
6.2000e+000,3.1811e-003
6.3000e+000,3.1906e-003
