Time:,2024/12/12 23:19:08
Mode:,I-t - Amperometric i-t Curve
Range,5.0E-2A
Init E (mV),2000
Run Time (mS),180000
Quiet Time (mS),2000
Sample Int (mS),100
Filter (1-9999),9950

Time(S),Current(A)
1.0000e-001,3.9800e-003
2.0000e-001,4.0238e-003
3.0000e-001,4.0852e-003
4.0000e-001,4.1617e-003
5.0000e-001,4.2462e-003
6.0000e-001,4.3372e-003
7.0000e-001,4.4411e-003
8.0000e-001,4.5653e-003
9.0000e-001,4.6936e-003
1.0000e+000,4.8046e-003
1.1000e+000,4.9028e-003
1.2000e+000,4.9900e-003
1.3000e+000,5.0651e-003
1.4000e+000,5.1287e-003
1.5000e+000,5.1841e-003
1.6000e+000,5.2350e-003
1.7000e+000,5.2833e-003
1.8000e+000,5.3154e-003
1.9000e+000,5.3252e-003
2.0000e+000,5.3226e-003
2.1000e+000,5.3293e-003
2.2000e+000,5.3496e-003
2.3000e+000,5.3837e-003
2.4000e+000,5.4224e-003
2.5000e+000,5.4563e-003
2.6000e+000,5.4882e-003
2.7000e+000,5.5145e-003
2.8000e+000,5.5199e-003
2.9000e+000,5.4953e-003
3.0000e+000,5.4611e-003
3.1000e+000,5.4297e-003
3.2000e+000,5.4157e-003
3.3000e+000,5.4210e-003
3.4000e+000,5.4420e-003
3.5000e+000,5.4728e-003
3.6000e+000,5.5043e-003
3.7000e+000,5.5310e-003
3.8000e+000,5.5513e-003
3.9000e+000,5.5662e-003
4.0000e+000,5.5793e-003
4.1000e+000,5.5930e-003
4.2000e+000,5.6075e-003
4.3000e+000,5.6197e-003
4.4000e+000,5.6295e-003
4.5000e+000,5.6292e-003
4.6000e+000,5.6207e-003
4.7000e+000,5.6157e-003
4.8000e+000,5.6290e-003
4.9000e+000,5.6520e-003
5.0000e+000,5.6778e-003
5.1000e+000,5.7095e-003
5.2000e+000,5.7397e-003
5.3000e+000,5.7629e-003
5.4000e+000,5.7758e-003
5.5000e+000,5.7796e-003
5.6000e+000,5.7891e-003
5.7000e+000,5.7914e-003
5.8000e+000,5.7749e-003
5.9000e+000,5.7418e-003
6.0000e+000,5.6905e-003
6.1000e+000,5.6389e-003
6.2000e+000,5.6066e-003
6.3000e+000,5.5995e-003
