数据名单电势阶跃记时电流CASE2024年4月1日  14:46:27
时间: 2024/4/1 14:46:51
线数1	点数15512
0.01	0.241401409955138	
0.02	0.241401409955138	
0.03	0.242316965239418	
0.04	0.242011780144658	
0.05	0.242011780144658	
0.06	0.242622150334178	
0.07	0.242622150334178	
0.08	0.243232520523698	
0.09	0.242622150334178	
0.1	0.243232520523698	
0.11	0.243232520523698	
0.12	0.243232520523698	
0.13	0.243537705618458	
0.14	0.243232520523698	
0.15	0.243232520523698	
0.16	0.243842890713218	
0.17	0.243232520523698	
0.18	0.243537705618458	
0.19	0.243232520523698	
0.2	0.243232520523698	
0.21	0.242927335428938	
0.22	0.243232520523698	
0.23	0.242622150334178	
0.24	0.242622150334178	
0.25	0.242316965239418	
0.26	0.241706595049898	
0.27	0.242622150334178	
0.28	0.242011780144658	
0.29	0.242011780144658	
0.3	0.241401409955138	
0.31	0.242011780144658	
0.32	0.241096224860378	
0.33	0.241096224860378	
0.34	0.240791039765618	
0.35	0.240791039765618	
0.36	0.240791039765618	
0.37	0.240791039765618	
0.38	0.240180669576098	
0.39	0.240180669576098	
0.4	0.240180669576098	
0.41	0.238959929197058	
0.42	0.239265114291818	
0.43	0.239265114291818	
0.44	0.239265114291818	
0.45	0.239265114291818	
0.46	0.239265114291818	
0.47	0.238959929197058	
0.48	0.238959929197058	
0.49	0.238959929197058	
0.5	0.238959929197058	
0.51	0.238959929197058	
0.52	0.238349559007538	
0.53	0.238959929197058	
0.54	0.238654744102298	
0.55	0.238959929197058	
0.56	0.238959929197058	
0.57	0.238349559007538	
0.58	0.238959929197058	
0.59	0.238959929197058	
0.6	0.238959929197058	
0.61	0.238959929197058	
0.62	0.238959929197058	
0.63	0.238959929197058	
0.64	0.238959929197058	
0.65	0.238349559007538	
0.66	0.238654744102298	
0.67	0.238349559007538	
0.68	0.238349559007538	
0.69	0.238349559007538	
0.7	0.238349559007538	
0.71	0.238349559007538	
0.72	0.237739188818018	
0.73	0.238349559007538	
0.74	0.238349559007538	
0.75	0.237739188818018	
0.76	0.237739188818018	
0.77	0.237739188818018	
0.78	0.237739188818018	
0.79	0.237739188818018	
0.8	0.237434003723258	
0.81	0.237128818628498	
0.82	0.237128818628498	
0.83	0.237128818628498	
0.84	0.236518448438978	
0.85	0.236518448438978	
0.86	0.236518448438978	
0.87	0.235908078249458	
0.88	0.235297708059938	
0.89	0.235908078249458	
0.9	0.235297708059938	
0.91	0.235297708059938	
0.92	0.234992522965178	
0.93	0.234382152775658	
0.94	0.234076967680898	
0.95	0.234076967680898	
0.96	0.234076967680898	
0.97	0.233771782586138	
0.98	0.233466597491379	
0.99	0.233161412396619	
1	0.232856227301859	
1.01	0.232856227301859	
1.02	0.232856227301859	
1.03	0.232856227301859	
1.04	0.232245857112339	
1.05	0.232245857112339	
1.06	0.232245857112339	
1.07	0.231635486922819	
1.08	0.231635486922819	
1.09	0.231330301828059	
1.1	0.231635486922819	
1.11	0.231635486922819	
1.12	0.231025116733299	
1.13	0.231025116733299	
1.14	0.231025116733299	
1.15	0.230414746543779	
1.16	0.230414746543779	
1.17	0.231025116733299	
1.18	0.230719931638539	
1.19	0.230414746543779	
1.2	0.230414746543779	
1.21	0.230414746543779	
1.22	0.229499191259499	
1.23	0.229499191259499	
1.24	0.229499191259499	
1.25	0.229499191259499	
1.26	0.230414746543779	
1.27	0.229499191259499	
1.28	0.229499191259499	
1.29	0.230109561449019	
1.3	0.230414746543779	
1.31	0.229499191259499	
1.32	0.229499191259499	
1.33	0.229499191259499	
1.34	0.229499191259499	
1.35	0.229499191259499	
1.36	0.229499191259499	
1.37	0.229499191259499	
1.38	0.229499191259499	
1.39	0.229499191259499	
1.4	0.229499191259499	
1.41	0.229194006164739	
1.42	0.229499191259499	
1.43	0.229499191259499	
1.44	0.229499191259499	
1.45	0.229499191259499	
1.46	0.229194006164739	
1.47	0.229194006164739	
1.48	0.229499191259499	
1.49	0.229194006164739	
1.5	0.229499191259499	
1.51	0.229499191259499	
1.52	0.229499191259499	
1.53	0.229499191259499	
1.54	0.229499191259499	
1.55	0.229804376354259	
1.56	0.229499191259499	
1.57	0.229499191259499	
1.58	0.229499191259499	
1.59	0.229804376354259	
1.6	0.229499191259499	
1.61	0.229499191259499	
1.62	0.229194006164739	
1.63	0.229499191259499	
1.64	0.230414746543779	
1.65	0.229499191259499	
1.66	0.230414746543779	
1.67	0.229804376354259	
1.68	0.230414746543779	
1.69	0.229804376354259	
1.7	0.230414746543779	
1.71	0.229499191259499	
1.72	0.229499191259499	
1.73	0.230414746543779	
1.74	0.229499191259499	
1.75	0.229804376354259	
1.76	0.229499191259499	
1.77	0.229804376354259	
1.78	0.229804376354259	
1.79	0.229499191259499	
1.8	0.229499191259499	
1.81	0.230414746543779	
1.82	0.229499191259499	
1.83	0.229499191259499	
1.84	0.229499191259499	
1.85	0.229499191259499	
1.86	0.229499191259499	
1.87	0.229499191259499	
1.88	0.229499191259499	
1.89	0.229499191259499	
1.9	0.229499191259499	
1.91	0.229499191259499	
1.92	0.229499191259499	
1.93	0.229499191259499	
1.94	0.229499191259499	
1.95	0.229194006164739	
1.96	0.229194006164739	
1.97	0.229194006164739	
1.98	0.229194006164739	
1.99	0.229194006164739	
2	0.229194006164739	
2.01	0.229194006164739	
2.02	0.229194006164739	
2.03	0.229194006164739	
2.04	0.229194006164739	
2.05	0.229194006164739	
2.06	0.229194006164739	
2.07	0.229194006164739	
2.08	0.229194006164739	
2.09	0.228888821069979	
2.1	0.229194006164739	
2.11	0.229194006164739	
