数据名单电势阶跃记时电流CASE2024年4月1日  14:28:50
时间: 2024/4/1 14:29:47
线数1	点数11898
0.01	0.275582140568255	
0.02	0.275276955473495	
0.03	0.275276955473495	
0.04	0.275276955473495	
0.05	0.275276955473495	
0.06	0.275276955473495	
0.07	0.274971770378735	
0.08	0.275582140568255	
0.09	0.274971770378735	
0.1	0.275276955473495	
0.11	0.275276955473495	
0.12	0.275276955473495	
0.13	0.274971770378735	
0.14	0.275276955473495	
0.15	0.274971770378735	
0.16	0.274971770378735	
0.17	0.274971770378735	
0.18	0.275276955473495	
0.19	0.275276955473495	
0.2	0.274971770378735	
0.21	0.274971770378735	
0.22	0.274971770378735	
0.23	0.274971770378735	
0.24	0.274971770378735	
0.25	0.274971770378735	
0.26	0.274971770378735	
0.27	0.274971770378735	
0.28	0.275276955473495	
0.29	0.274971770378735	
0.3	0.275276955473495	
0.31	0.274971770378735	
0.32	0.274971770378735	
0.33	0.274971770378735	
0.34	0.275276955473495	
0.35	0.274971770378735	
0.36	0.275276955473495	
0.37	0.274971770378735	
0.38	0.274971770378735	
0.39	0.274971770378735	
0.4	0.274971770378735	
0.41	0.275276955473495	
0.42	0.274971770378735	
0.43	0.274971770378735	
0.44	0.275276955473495	
0.45	0.274971770378735	
0.46	0.274971770378735	
0.47	0.274971770378735	
0.48	0.274971770378735	
0.49	0.275276955473495	
0.5	0.275276955473495	
0.51	0.274971770378735	
0.52	0.274971770378735	
0.53	0.274971770378735	
0.54	0.274971770378735	
0.55	0.274971770378735	
0.56	0.274971770378735	
0.57	0.274971770378735	
0.58	0.274971770378735	
0.59	0.274971770378735	
0.6	0.274971770378735	
0.61	0.274971770378735	
0.62	0.275276955473495	
0.63	0.275276955473495	
0.64	0.274971770378735	
0.65	0.274971770378735	
0.66	0.275276955473495	
0.67	0.275276955473495	
0.68	0.275276955473495	
0.69	0.275276955473495	
0.7	0.275276955473495	
0.71	0.275276955473495	
0.72	0.274971770378735	
0.73	0.274971770378735	
0.74	0.274971770378735	
0.75	0.274971770378735	
0.76	0.274971770378735	
0.77	0.273445844904935	
0.78	0.273445844904935	
0.79	0.273445844904935	
0.8	0.273445844904935	
0.81	0.273445844904935	
0.82	0.273445844904935	
0.83	0.272835474715415	
0.84	0.272835474715415	
0.85	0.272530289620655	
0.86	0.271614734336375	
0.87	0.271614734336375	
0.88	0.271309549241615	
0.89	0.271004364146855	
0.9	0.270699179052095	
0.91	0.270088808862575	
0.92	0.270088808862575	
0.93	0.268562883388775	
0.94	0.268562883388775	
0.95	0.268562883388775	
0.96	0.268257698294015	
0.97	0.267647328104495	
0.98	0.267647328104495	
0.99	0.267036957914975	
1	0.266426587725455	
1.01	0.266731772820215	
1.02	0.266426587725455	
1.03	0.266426587725455	
1.04	0.265511032441176	
1.05	0.265205847346416	
1.06	0.265205847346416	
1.07	0.265205847346416	
1.08	0.265205847346416	
1.09	0.264595477156896	
1.1	0.264595477156896	
1.11	0.263679921872616	
1.12	0.263679921872616	
1.13	0.263679921872616	
1.14	0.263679921872616	
1.15	0.263679921872616	
1.16	0.263679921872616	
1.17	0.263069551683096	
1.18	0.263374736777856	
1.19	0.263069551683096	
1.2	0.263374736777856	
1.21	0.263069551683096	
1.22	0.263374736777856	
1.23	0.262764366588336	
1.24	0.263069551683096	
1.25	0.262764366588336	
1.26	0.262764366588336	
1.27	0.262764366588336	
1.28	0.262764366588336	
1.29	0.262764366588336	
1.3	0.262764366588336	
1.31	0.262764366588336	
1.32	0.262459181493576	
1.33	0.262764366588336	
1.34	0.262459181493576	
1.35	0.262764366588336	
1.36	0.262764366588336	
1.37	0.262764366588336	
1.38	0.262764366588336	
1.39	0.262764366588336	
1.4	0.262764366588336	
1.41	0.262459181493576	
1.42	0.262153996398816	
1.43	0.262153996398816	
1.44	0.262153996398816	
1.45	0.262459181493576	
1.46	0.262153996398816	
1.47	0.262153996398816	
1.48	0.262153996398816	
1.49	0.262153996398816	
1.5	0.261543626209296	
1.51	0.261543626209296	
1.52	0.261543626209296	
1.53	0.262153996398816	
1.54	0.261543626209296	
1.55	0.261848811304056	
1.56	0.261543626209296	
1.57	0.261848811304056	
1.58	0.260933256019776	
1.59	0.261238441114536	
1.6	0.260933256019776	
1.61	0.261238441114536	
1.62	0.260933256019776	
1.63	0.260933256019776	
1.64	0.261543626209296	
1.65	0.260933256019776	
1.66	0.260933256019776	
1.67	0.261543626209296	
1.68	0.261238441114536	
1.69	0.260933256019776	
1.7	0.260933256019776	
1.71	0.261238441114536	
1.72	0.260933256019776	
1.73	0.261543626209296	
1.74	0.260933256019776	
1.75	0.260933256019776	
1.76	0.261238441114536	
1.77	0.261543626209296	
1.78	0.261238441114536	
1.79	0.260933256019776	
1.8	0.261543626209296	
1.81	0.261543626209296	
1.82	0.261543626209296	
1.83	0.261543626209296	
1.84	0.260933256019776	
1.85	0.261238441114536	
1.86	0.261543626209296	
1.87	0.261543626209296	
1.88	0.260933256019776	
1.89	0.261543626209296	
1.9	0.261543626209296	
1.91	0.261543626209296	
1.92	0.261543626209296	
1.93	0.261543626209296	
1.94	0.261543626209296	
1.95	0.261543626209296	
1.96	0.260933256019776	
1.97	0.261238441114536	
1.98	0.261543626209296	
1.99	0.260933256019776	
2	0.261543626209296	
2.01	0.261238441114536	
2.02	0.260933256019776	
2.03	0.261543626209296	
2.04	0.260933256019776	
2.05	0.260322885830256	
2.06	0.260933256019776	
2.07	0.260933256019776	
2.08	0.260933256019776	
2.09	0.260628070925016	
2.1	0.260933256019776	
2.11	0.260933256019776	
