数据名单电势阶跃记时电流CASE2024年4月1日  14:33:00
时间: 2024/4/1 14:33:27
线数1	点数8153
0.01	0.243842890713218	
0.02	0.243232520523698	
0.03	0.242622150334178	
0.04	0.242622150334178	
0.05	0.242316965239418	
0.06	0.241706595049898	
0.07	0.241706595049898	
0.08	0.242011780144658	
0.09	0.242011780144658	
0.1	0.241706595049898	
0.11	0.242011780144658	
0.12	0.242316965239418	
0.13	0.242011780144658	
0.14	0.242011780144658	
0.15	0.242316965239418	
0.16	0.242622150334178	
0.17	0.242622150334178	
0.18	0.242927335428938	
0.19	0.243842890713218	
0.2	0.243537705618458	
0.21	0.243842890713218	
0.22	0.244148075807978	
0.23	0.244148075807978	
0.24	0.244148075807978	
0.25	0.245063631092257	
0.26	0.245063631092257	
0.27	0.245674001281777	
0.28	0.245674001281777	
0.29	0.246284371471297	
0.3	0.246589556566057	
0.31	0.246894741660817	
0.32	0.246894741660817	
0.33	0.247505111850337	
0.34	0.247505111850337	
0.35	0.247810296945097	
0.36	0.248115482039857	
0.37	0.248115482039857	
0.38	0.248725852229377	
0.39	0.248725852229377	
0.4	0.248725852229377	
0.41	0.249031037324137	
0.42	0.249031037324137	
0.43	0.249031037324137	
0.44	0.249946592608417	
0.45	0.250556962797937	
0.46	0.250556962797937	
0.47	0.250556962797937	
0.48	0.250556962797937	
0.49	0.250556962797937	
0.5	0.251167332987457	
0.51	0.251167332987457	
0.52	0.251167332987457	
0.53	0.251777703176977	
0.54	0.251167332987457	
0.55	0.251777703176977	
0.56	0.251167332987457	
0.57	0.251777703176977	
0.58	0.251777703176977	
0.59	0.251777703176977	
0.6	0.251777703176977	
0.61	0.252388073366497	
0.62	0.252388073366497	
0.63	0.252388073366497	
0.64	0.252388073366497	
0.65	0.252693258461257	
0.66	0.252693258461257	
0.67	0.253608813745537	
0.68	0.253608813745537	
0.69	0.253608813745537	
0.7	0.253913998840297	
0.71	0.253913998840297	
0.72	0.254524369029817	
0.73	0.255134739219337	
0.74	0.255439924314097	
0.75	0.255745109408856	
0.76	0.255745109408856	
0.77	0.255439924314097	
0.78	0.256050294503616	
0.79	0.256050294503616	
0.8	0.256660664693136	
0.81	0.256660664693136	
0.82	0.257271034882656	
0.83	0.257271034882656	
0.84	0.256965849787896	
0.85	0.257271034882656	
0.86	0.257271034882656	
0.87	0.257576219977416	
0.88	0.257881405072176	
0.89	0.257271034882656	
0.9	0.257271034882656	
0.91	0.257576219977416	
0.92	0.257881405072176	
0.93	0.258491775261696	
0.94	0.257881405072176	
0.95	0.257576219977416	
0.96	0.257881405072176	
0.97	0.257881405072176	
0.98	0.258186590166936	
0.99	0.257881405072176	
1	0.257881405072176	
1.01	0.257881405072176	
1.02	0.257881405072176	
1.03	0.257881405072176	
1.04	0.257271034882656	
1.05	0.257576219977416	
1.06	0.257881405072176	
1.07	0.257271034882656	
1.08	0.257271034882656	
1.09	0.257271034882656	
1.1	0.256660664693136	
1.11	0.256660664693136	
1.12	0.256050294503616	
1.13	0.256050294503616	
1.14	0.255439924314097	
1.15	0.254829554124577	
1.16	0.254829554124577	
1.17	0.254524369029817	
1.18	0.253608813745537	
1.19	0.253608813745537	
1.2	0.252998443556017	
1.21	0.252693258461257	
1.22	0.252388073366497	
1.23	0.252388073366497	
1.24	0.251777703176977	
1.25	0.251472518082217	
1.26	0.251167332987457	
1.27	0.250556962797937	
1.28	0.249946592608417	
1.29	0.249336222418897	
1.3	0.249031037324137	
1.31	0.248725852229377	
1.32	0.248725852229377	
1.33	0.248725852229377	
1.34	0.248115482039857	
1.35	0.247810296945097	
1.36	0.247505111850337	
1.37	0.247505111850337	
1.38	0.247505111850337	
1.39	0.247810296945097	
1.4	0.246894741660817	
1.41	0.247199926755577	
1.42	0.247505111850337	
1.43	0.247505111850337	
1.44	0.247505111850337	
1.45	0.247505111850337	
1.46	0.248115482039857	
1.47	0.248115482039857	
1.48	0.248115482039857	
1.49	0.248725852229377	
1.5	0.249946592608417	
1.51	0.249946592608417	
1.52	0.250556962797937	
1.53	0.251167332987457	
1.54	0.251167332987457	
1.55	0.251777703176977	
1.56	0.252998443556017	
1.57	0.252998443556017	
1.58	0.253608813745537	
1.59	0.254829554124577	
1.6	0.255134739219337	
1.61	0.256050294503616	
1.62	0.256660664693136	
1.63	0.257271034882656	
1.64	0.257881405072176	
1.65	0.258491775261696	
1.66	0.258796960356456	
1.67	0.259712515640736	
1.68	0.260017700735496	
1.69	0.260322885830256	
1.7	0.261543626209296	
1.71	0.261543626209296	
1.72	0.262153996398816	
1.73	0.262764366588336	
1.74	0.262153996398816	
1.75	0.263374736777856	
1.76	0.262764366588336	
1.77	0.263374736777856	
1.78	0.263374736777856	
1.79	0.263679921872616	
1.8	0.263679921872616	
1.81	0.263679921872616	
1.82	0.263679921872616	
1.83	0.263679921872616	
1.84	0.263679921872616	
1.85	0.263679921872616	
1.86	0.263679921872616	
1.87	0.263679921872616	
1.88	0.264595477156896	
1.89	0.264595477156896	
1.9	0.264595477156896	
1.91	0.264595477156896	
1.92	0.264290292062136	
1.93	0.263679921872616	
1.94	0.263679921872616	
1.95	0.263679921872616	
1.96	0.264595477156896	
1.97	0.263985106967376	
1.98	0.263679921872616	
1.99	0.264595477156896	
2	0.263679921872616	
2.01	0.263679921872616	
2.02	0.263679921872616	
2.03	0.263374736777856	
2.04	0.263679921872616	
2.05	0.263679921872616	
2.06	0.263679921872616	
2.07	0.264595477156896	
2.08	0.264595477156896	
2.09	0.264595477156896	
2.1	0.264595477156896	
2.11	0.264595477156896	
2.12	0.264595477156896	
2.13	0.263679921872616	
2.14	0.263679921872616	
2.15	0.264595477156896	
2.16	0.263679921872616	
2.17	0.263679921872616	
2.18	0.263679921872616	
2.19	0.263374736777856	
2.2	0.263374736777856	
2.21	0.262764366588336	
2.22	0.262764366588336	
2.23	0.262153996398816	
2.24	0.261848811304056	
2.25	0.261543626209296	
2.26	0.260933256019776	
2.27	0.260322885830256	
2.28	0.259712515640736	
2.29	0.259712515640736	
2.3	0.258491775261696	
2.31	0.257881405072176	
2.32	0.257881405072176	
2.33	0.256660664693136	
2.34	0.256660664693136	
2.35	0.256050294503616	
2.36	0.255439924314097	
2.37	0.254829554124577	
2.38	0.254829554124577	
2.39	0.253913998840297	
2.4	0.253913998840297	
2.41	0.253608813745537	
2.42	0.253608813745537	
2.43	0.253303628650777	
2.44	0.253608813745537	
2.45	0.252693258461257	
2.46	0.252693258461257	
2.47	0.252388073366497	
2.48	0.251777703176977	
2.49	0.251777703176977	
2.5	0.251777703176977	
2.51	0.251472518082217	
2.52	0.251777703176977	
2.53	0.252388073366497	
2.54	0.251777703176977	
2.55	0.251777703176977	
2.56	0.252082888271737	
2.57	0.252388073366497	
2.58	0.251777703176977	
2.59	0.252082888271737	
2.6	0.252388073366497	
2.61	0.252693258461257	
2.62	0.252693258461257	
2.63	0.252998443556017	
2.64	0.252998443556017	
2.65	0.252998443556017	
2.66	0.253608813745537	
2.67	0.253608813745537	
2.68	0.253913998840297	
2.69	0.253913998840297	
2.7	0.254829554124577	
2.71	0.254829554124577	
2.72	0.255439924314097	
2.73	0.255439924314097	
2.74	0.256050294503616	
2.75	0.256660664693136	
2.76	0.256660664693136	
2.77	0.256660664693136	
2.78	0.257271034882656	
2.79	0.257271034882656	
2.8	0.257576219977416	
