window_id,start_time,end_time,reconstruction_error,is_abnormal
0,30.0,34.9,0.49728572,1
1,35.0,39.9,0.33440885,1
2,40.0,44.9,0.24520893,1
3,45.0,49.9,0.13350062,1
4,50.0,54.9,0.030346762,0
5,55.0,59.9,0.009222296,0
6,60.0,64.9,0.0037656697,0
7,65.0,69.9,0.0034781853,0
8,70.0,74.9,0.0028224243,0
9,75.0,79.9,0.002237705,0
10,80.0,84.9,0.0014278142,0
11,85.0,89.9,0.0013000353,0
12,90.0,94.9,0.0009629207,0
13,95.0,99.9,0.0024110286,0
14,100.0,104.9,0.0018536106,0
15,105.0,109.9,0.0013886935,0
16,110.0,114.9,0.0029966398,0
17,115.0,119.9,0.003361013,0
18,120.0,124.9,0.0065207575,0
19,125.0,129.9,0.016133644,0
20,130.0,134.9,0.039147202,0
21,135.0,139.9,0.06707528,0
22,140.0,144.9,0.09449673,0
23,145.0,149.9,0.15683028,1
