n_cycles,peak_mean,peak_std,peak_max,peak_min,CV_percent,AUC,SNR_dB,rise_slope,fall_slope,symmetry,period_mean,period_std,filename
11,0.002274670670212981,0.0004276469615637406,0.002688683735081729,0.001043533846600033,18.800390191152346,0.016870086190714225,27.704633309918766,0.002803050373872378,0.003879267195472727,0.7225721335059516,1.1650000000000003,0.8109654739876416,5.xlsx
10,0.003145338194986974,0.00014440430085021897,0.0033255627527598026,0.0028452706943685306,4.591058000706248,0.019169045486569,31.826536361146033,0.00480754726011454,0.005527391868851856,0.8697677628405888,0.9066666666666663,0.07333333333333295,10.xlsx
10,0.0034941966150872803,0.0003788626489210092,0.004139099354526936,0.002971579639023751,10.842625377322843,0.02397813445664902,33.034834122208714,0.005196142578913321,0.005985733937486369,0.8680877956121407,1.0288888888888894,0.07385337492392674,20.xlsx
10,0.0047640551148816854,0.0003988844327485005,0.005620631574750361,0.004223750790151245,8.372792151427634,0.0325013290920108,35.11236437372141,0.006670219480092677,0.008360376476143749,0.7978372145233031,0.992222222222223,0.08107305043091412,30.xlsx
10,0.005197198965102146,0.0002448393361410303,0.005698027729450532,0.004790854124804797,4.710986394499489,0.04296994110397437,34.34948140710506,0.008061817799643387,0.006724233307115108,1.19892000045759,1.257777777777777,0.11592888411798163,45.xlsx
35,0.004522562096014245,0.0006214751017925588,0.006504861705511988,0.003641641047382324,13.741659895400169,0.08565843660049066,30.36737833524498,0.006459358408131984,0.006395698625021835,1.0099535307778722,0.7308823529411763,0.30306636476733617,60.xlsx
14,0.009972150736535597,0.0011745191796764004,0.01211521587052271,0.007881258725515383,11.7779926387719,0.08823625262487333,30.534880711892683,0.014132929540125046,0.01732411574055854,0.8157951465908062,1.1630769230769233,0.07926436927578408,75.xlsx
18,0.01715592579713006,0.002216186087500726,0.02339628260524409,0.014476636870812123,12.917904365565992,0.15990733901332116,31.143890969660475,0.02725821678266561,0.029834638615516437,0.913643269956993,1.1088235294117628,0.07011606788590091,90.xlsx
47,0.009062100383173483,0.0005216294649404656,0.01063224629846106,0.007701315417325109,5.75616515911728,0.27338430736393105,32.1823942060959,0.012406118544450591,0.011617606876464794,1.067872125160577,0.6769565217391301,0.7796400216298758,state_2_5.xlsx
39,0.009031611438679267,0.0006870120532341229,0.010644187991344558,0.007451923884429185,7.606749447744043,0.2445076154016365,30.37577368488698,0.012877574297663757,0.014019653755630327,0.918537256491951,0.86,0.21543102449691295,state_2_10.xlsx
