n_cycles,peak_mean,peak_std,peak_max,peak_min,CV_percent,AUC,SNR_dB,rise_slope,fall_slope,symmetry,period_mean,period_std,filename
5,0.023640607360975723,0.0010324130669291823,0.025278988598907,0.022020346511916086,4.3671173551717555,0.3562984551471081,45.70994791933429,0.007803414435494063,0.005453881106341072,1.4308002472626797,6.662499999999994,0.8058341951046443,state_3_30_slow_5_waves.xlsx
8,0.005349155567883972,0.0005267030910315887,0.006076835449085654,0.00459923042075949,9.846471734602082,0.042964877197586814,33.95394750180264,0.007015030088863795,0.006984525957153528,1.0043673875503354,1.4314285714285708,0.25581402683693677,state_3_5_5_waves.xlsx
12,0.0036873947751955485,0.0006845518104490015,0.004170823134928985,0.0014878595697469335,18.56464664575272,0.027033114748422654,29.03791789560339,0.004594024426616975,0.004475474272951902,1.0264888470885747,0.8218181818181837,0.28286900861186864,state_3_10_5_waves.xlsx
13,0.00398893830055724,0.001509418257588759,0.005715945437243299,0.0015502361204811472,37.84010039407977,0.031847718302410184,28.670855887039682,0.008350014563195157,0.005507346334329457,1.5161593363297727,0.7891666666666666,0.2794774389622356,state_3_15_5_waves.xlsx
8,0.009520989643266326,0.0008180317261241135,0.01037211723379069,0.007521913955641268,8.591877071336409,0.058111526580960304,32.43574605494487,0.015527326317701923,0.01295242248784025,1.1987970846595681,1.2442857142857113,0.15286381827880482,state_3_20_5_waves.xlsx
9,0.015036649239975762,0.0002808394873965932,0.015748322787926,0.014774725612185997,1.8676999304470434,0.10409558311912004,32.17083985126019,0.032254146303764206,0.017814961890752944,1.8105088577543398,1.1437499999999972,0.13527171729522033,state_3_25_5_waves.xlsx
7,0.03565513307616288,0.0008390291195962518,0.03675567596926541,0.034198951416383405,2.3531790438251985,0.17879656516496742,35.38952481574595,0.058397733270554045,0.04354752840374249,1.3410114284588266,1.3799999999999955,0.08286535263102901,state_3_30_fast_5_waves.xlsx
28,0.03820021560566806,0.0009062818215025973,0.03939210850400007,0.03544330390909253,2.37245211089365,0.870610521615393,36.04910417981501,0.055250133140798914,0.04319685975770124,1.2790312409445177,1.4318518518518506,0.23466346331521437,state_3_30_fast_50_waves.xlsx
7,0.026699706089498326,0.001672919390609241,0.029324587796820678,0.024756766772992607,6.265684667095428,0.266778513656011,41.53279833271816,0.017833065444877057,0.017036321767864925,1.046767353180368,2.646666666666666,0.28493664013055253,state_3_30_medium_5_waves.xlsx
15,0.02830221229247211,0.006338642951932536,0.03314452626590415,0.006286134563359923,22.39628085052031,0.7109228191560282,40.187443421563,0.0176600970203114,0.01643829726606464,1.0743264180268266,2.5800000000000005,0.4188589943439803,state_3_30_medium_10_waves.xlsx
